mode,run_id,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,per_request_ttft_mean,per_request_decode_time_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,stream,output_length_control_requested,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error
prefix,pr2_v2,0,0,512,512,4,128,0,1.2412962913513184,1.2203245162963867,0.07683050632476807,1.1434940099716187,True,0,True,True,4,0,ok,,2164.0,2112.0,2112.0,2164.0,512.0,0.0,0.0,0.0,3.474624827504158e-05,0.061469174921512604,4.555225379765034,0.16032028198242188,0.0,4.7159833908081055,True,
prefix,pr2_v2,0,0,512,512,4,128,1,1.2446954250335693,1.2174590229988098,0.07779359817504883,1.139665424823761,True,0,True,True,4,0,ok,,2164.0,2112.0,2112.0,2164.0,512.0,0.0,0.0,0.0,4.213908687233925e-05,0.06005552830174565,4.552450105082244,0.1599440574645996,0.0,4.71259880065918,True,
prefix,pr2_v2,0,0,512,512,4,128,2,1.2431163787841797,1.2172394394874573,0.07872390747070312,1.1385155320167542,True,0,True,True,4,0,ok,,2164.0,2112.0,2112.0,2164.0,512.0,0.0,0.0,0.0,5.331076681613922e-05,0.060219993349164724,4.553526509087533,0.1638650894165039,0.0,4.717695236206055,True,
prefix,pr2_v2,0,0,512,512,8,128,0,1.3360955715179443,1.2849724888801575,0.12143251299858093,1.1635399758815765,True,0,True,True,8,0,ok,,4328.0,4224.0,4224.0,4328.0,1024.0,0.0,0.0,0.0,0.00011702300980687141,0.13246900914236903,9.269528787117451,0.46213245391845703,0.0,9.733408212661743,True,
prefix,pr2_v2,0,0,512,512,8,128,1,1.3248131275177002,1.275980830192566,0.11611810326576233,1.1598627269268036,True,0,True,True,8,0,ok,,4328.0,4224.0,4224.0,4328.0,1024.0,0.0,0.0,0.0,9.451946243643761e-05,0.13000951148569584,9.266672390978783,0.4779388904571533,0.0,9.743346214294434,True,
prefix,pr2_v2,0,0,512,512,8,128,2,1.339709758758545,1.28986856341362,0.12481376528739929,1.1650547981262207,True,0,True,True,8,0,ok,,4328.0,4224.0,4224.0,4328.0,1024.0,0.0,0.0,0.0,0.0002957242541015148,0.15820202231407166,9.253568323794752,0.5139601230621338,0.0,9.767279863357544,True,
prefix,pr2_v2,0,0,1024,1024,2,128,0,1.20766282081604,1.1951422691345215,0.0630645751953125,1.132077693939209,True,0,True,True,2,0,ok,,2106.0,2080.0,2080.0,2106.0,256.0,0.0,0.0,0.0,1.1045951396226883e-05,0.028001252561807632,2.264578123111278,0.07032418251037598,0.0,2.334887981414795,True,
prefix,pr2_v2,0,0,1024,1024,2,128,1,1.210583209991455,1.1957000494003296,0.06363129615783691,1.1320687532424927,True,0,True,True,2,0,ok,,2106.0,2080.0,2080.0,2106.0,256.0,0.0,0.0,0.0,1.0374002158641815e-05,0.02806036313995719,2.2643136787228286,0.06754946708679199,0.0,2.3319153785705566,True,
prefix,pr2_v2,0,0,1024,1024,2,128,2,1.2070672512054443,1.19449782371521,0.06269252300262451,1.1318053007125854,True,0,True,True,2,0,ok,,2106.0,2080.0,2080.0,2106.0,256.0,0.0,0.0,0.0,1.133698970079422e-05,0.029177754186093807,2.2639747569337487,0.07263422012329102,0.0,2.336575746536255,True,
prefix,pr2_v2,0,0,1024,1024,4,128,0,1.2592759132385254,1.2362301349639893,0.0926891565322876,1.1435409784317017,True,0,True,True,4,0,ok,,4212.0,4160.0,4160.0,4212.0,512.0,0.0,0.0,0.0,3.50060872733593e-05,0.06389983836561441,4.5843787007033825,0.20728039741516113,0.0,4.791847467422485,True,
prefix,pr2_v2,0,0,1024,1024,4,128,1,1.2721166610717773,1.2432427406311035,0.09797888994216919,1.1452638506889343,True,0,True,True,4,0,ok,,4212.0,4160.0,4160.0,4212.0,512.0,0.0,0.0,0.0,6.225937977433205e-05,0.0632160771638155,4.579964233096689,0.2247931957244873,0.0,4.804232597351074,True,
prefix,pr2_v2,0,0,1024,1024,4,128,2,1.2647621631622314,1.2384228110313416,0.09270316362380981,1.1457196474075317,True,0,True,True,4,0,ok,,4212.0,4160.0,4160.0,4212.0,512.0,0.0,0.0,0.0,6.693089380860329e-05,0.061946991831064224,4.5808523036539555,0.21367597579956055,0.0,4.7946977615356445,True,
prefix,pr2_v2,0,0,1024,1024,8,128,0,1.3840434551239014,1.3391629457473755,0.16558301448822021,1.1735799312591553,True,0,True,True,8,0,ok,,8424.0,8320.0,8320.0,8424.0,1024.0,0.0,0.0,0.0,0.00031588971614837646,0.18162769777700305,9.385633054189384,0.7632920742034912,0.0,10.147202253341675,True,
prefix,pr2_v2,0,0,1024,1024,8,128,1,1.3758306503295898,1.3233737349510193,0.1495552957057953,1.173818439245224,True,0,True,True,8,0,ok,,8424.0,8320.0,8320.0,8424.0,1024.0,0.0,0.0,0.0,0.0002085450105369091,0.1344760311767459,9.389581131748855,0.6606390476226807,0.0,10.049264669418335,True,
prefix,pr2_v2,0,0,1024,1024,8,128,2,1.3756778240203857,1.3251249194145203,0.14936524629592896,1.1757596731185913,True,0,True,True,8,0,ok,,8424.0,8320.0,8320.0,8424.0,1024.0,0.0,0.0,0.0,0.0001393267884850502,0.13485320331528783,9.40367531310767,0.6432030200958252,0.0,10.04948115348816,True,
prefix,pr2_v2,1024,1037,256,264,2,128,0,1.2026121616363525,1.192419171333313,0.06117808818817139,1.1312410831451416,True,1024,True,True,2,0,ok,,2660.0,2656.0,2656.0,2660.0,256.0,0.0,0.0,0.0,1.1224299669265747e-05,0.026673838961869478,2.2637093947269022,0.07581210136413574,0.0,2.339569568634033,True,
prefix,pr2_v2,1024,1037,256,264,2,128,1,1.211235761642456,1.197262167930603,0.06605148315429688,1.1312106847763062,True,1024,True,True,2,0,ok,,2660.0,2656.0,2656.0,2660.0,256.0,0.0,0.0,0.0,1.0742805898189545e-05,0.02732610935345292,2.2638852186501026,0.07391858100891113,0.0,2.337791919708252,True,
prefix,pr2_v2,1024,1037,256,264,2,128,2,1.2118844985961914,1.1975657939910889,0.0666818618774414,1.1308839321136475,True,1024,True,True,2,0,ok,,2660.0,2656.0,2656.0,2660.0,256.0,0.0,0.0,0.0,1.0389834642410278e-05,0.027897650375962257,2.2628955538384616,0.07574653625488281,0.0,2.3385133743286133,True,
prefix,pr2_v2,1024,1037,256,264,4,128,0,1.2761080265045166,1.2415451407432556,0.10413467884063721,1.1374104619026184,True,3072,True,True,4,0,ok,,5320.0,5312.0,5312.0,5320.0,512.0,0.0,0.0,0.0,3.2846350222826004e-05,0.06018823059275746,4.565670546609908,0.22203755378723145,0.0,4.78815484046936,True,
prefix,pr2_v2,1024,1037,256,264,4,128,1,1.2679312229156494,1.2384598851203918,0.10310572385787964,1.1353541612625122,True,3072,True,True,4,0,ok,,5320.0,5312.0,5312.0,5320.0,512.0,0.0,0.0,0.0,5.432683974504471e-05,0.059131122659891844,4.5609622821211815,0.22843098640441895,0.0,4.789354085922241,True,
prefix,pr2_v2,1024,1037,256,264,4,128,2,1.2717416286468506,1.2425720691680908,0.10201418399810791,1.140557885169983,True,3072,True,True,4,0,ok,,5320.0,5312.0,5312.0,5320.0,512.0,0.0,0.0,0.0,3.373343497514725e-05,0.06050660414621234,4.565329481381923,0.2372605800628662,0.0,4.803088903427124,True,
prefix,pr2_v2,1024,1037,256,264,8,128,0,1.3975558280944824,1.3390158414840698,0.17974185943603516,1.1592739820480347,True,7168,True,True,8,0,ok,,10640.0,10624.0,10624.0,10640.0,1024.0,0.0,0.0,0.0,0.0003428887575864792,0.1787117887288332,9.284554726909846,0.8272349834442139,0.0,10.109732389450073,True,
prefix,pr2_v2,1024,1037,256,264,8,128,1,1.3830504417419434,1.3324633240699768,0.17361578345298767,1.1588475406169891,True,7168,True,True,8,0,ok,,10640.0,10624.0,10624.0,10640.0,1024.0,0.0,0.0,0.0,0.0003266371786594391,0.1755291116423905,9.286294173449278,0.8358776569366455,0.0,10.12162971496582,True,
prefix,pr2_v2,1024,1037,256,264,8,128,2,1.419896125793457,1.3669649362564087,0.2112918496131897,1.155673086643219,True,7168,True,True,8,0,ok,,10640.0,10624.0,10624.0,10640.0,1024.0,0.0,0.0,0.0,0.000358502846211195,0.1964115472510457,9.28497383883223,0.834542989730835,0.0,10.117026329040527,True,
prefix,pr2_v2,1024,1037,512,520,2,128,0,1.210569143295288,1.1994750499725342,0.06441223621368408,1.13506281375885,True,1024,True,True,2,0,ok,,3172.0,3168.0,3168.0,3172.0,256.0,0.0,0.0,0.0,1.0769814252853394e-05,0.02752432506531477,2.2712493729777634,0.08167123794555664,0.0,2.352971076965332,True,
prefix,pr2_v2,1024,1037,512,520,2,128,1,1.2224504947662354,1.2081618309020996,0.07432854175567627,1.1338332891464233,True,1024,True,True,2,0,ok,,3172.0,3168.0,3168.0,3172.0,256.0,0.0,0.0,0.0,1.1222902685403824e-05,0.02751822303980589,2.271472205873579,0.08538365364074707,0.0,2.356473445892334,True,
