input_tokens,output_tokens_actual,output_tokens_target,actual_e2e,actual_ttft_prefill_proxy,actual_decode,predicted_prefill,predicted_decode,predicted_e2e,ape,model_mode
8192.0,128.0,128.0,1.5314249992370605,0.37902092933654785,1.1524040699005127,0.37113684886807363,1.1567636346361843,1.5279004835042578,0.0023014615371687447,parametric
8192.0,128.0,128.0,1.513763189315796,0.35265374183654785,1.161109447479248,0.37113684886807363,1.1567636346361843,1.5279004835042578,0.009339171601108743,parametric
8192.0,128.0,128.0,1.522782802581787,0.36121320724487305,1.161569595336914,0.37113684886807363,1.1567636346361843,1.5279004835042578,0.0033607425259820026,parametric
8192.0,512.0,512.0,5.037140369415283,0.3439919948577881,4.693148374557495,0.37113684886807363,4.627054538544737,4.9981913874128105,0.00773235986016286,parametric
8192.0,512.0,512.0,5.073391914367676,0.3841218948364258,4.68927001953125,0.37113684886807363,4.627054538544737,4.9981913874128105,0.014822534553638536,parametric
8192.0,512.0,512.0,5.075052976608276,0.3830866813659668,4.69196629524231,0.37113684886807363,4.627054538544737,4.9981913874128105,0.015144982633626302,parametric
8192.0,1024.0,1024.0,9.786739587783813,0.3745083808898926,9.412231206893921,0.37113684886807363,9.254109077089474,9.625245925957548,0.016501273011069757,parametric
8192.0,1024.0,1024.0,9.759323835372925,0.34682726860046387,9.412496566772461,0.37113684886807363,9.254109077089474,9.625245925957548,0.013738442506580984,parametric
8192.0,1024.0,1024.0,9.757275819778442,0.3504467010498047,9.406829118728638,0.37113684886807363,9.254109077089474,9.625245925957548,0.013531429905185554,parametric
16384.0,32.0,32.0,1.0609931945800781,0.7852685451507568,0.2757246494293213,0.775554719431426,0.29456826670688807,1.0701229861383141,0.008604948273819435,parametric
16384.0,32.0,32.0,1.043168067932129,0.7655398845672607,0.27762818336486816,0.775554719431426,0.29456826670688807,1.0701229861383141,0.02583947787015561,parametric
16384.0,32.0,32.0,1.042900800704956,0.765254020690918,0.2776467800140381,0.775554719431426,0.29456826670688807,1.0701229861383141,0.026102372742409494,parametric
16384.0,128.0,128.0,1.9547998905181885,0.7679286003112793,1.1868712902069092,0.775554719431426,1.1782730668275523,1.9538277862589783,0.0004972909318878857,parametric
16384.0,128.0,128.0,1.9544823169708252,0.7691929340362549,1.1852893829345703,0.775554719431426,1.1782730668275523,1.9538277862589783,0.00033488699599046616,parametric
16384.0,128.0,128.0,1.9607150554656982,0.775989294052124,1.1847257614135742,0.775554719431426,1.1782730668275523,1.9538277862589783,0.003512631367582408,parametric
16384.0,512.0,512.0,5.574396371841431,0.7599081993103027,4.814488172531128,0.775554719431426,4.713092267310209,5.488646986741635,0.015382721173713244,parametric
16384.0,512.0,512.0,5.5937042236328125,0.77667236328125,4.8170318603515625,0.775554719431426,4.713092267310209,5.488646986741635,0.018781335710837465,parametric
16384.0,512.0,512.0,5.707200288772583,0.8586330413818359,4.848567247390747,0.775554719431426,4.713092267310209,5.488646986741635,0.03829431086567857,parametric
16384.0,1024.0,1024.0,10.808828115463257,0.7573428153991699,10.051485300064087,0.775554719431426,9.426184534620418,10.201739254051844,0.05616602049050099,parametric
