split_type,policy,target,train_rows,median_abs_error,p95_abs_error,model_method
leave_arrival_poisson,taps_domain_v4,throughput,86,0.008697921064177327,0.037661052699331704,numpy_ridge
leave_arrival_poisson,taps_domain_v4,ready_queue_wait,86,760.448295343755,2475.563593104812,numpy_ridge
leave_arrival_poisson,taps_domain_v4,region_utilization,86,0.052807860881072144,0.1500592990695874,numpy_ridge
leave_arrival_poisson,taps_admission_v4,p95_jct,86,8.503231656956046,21.933577289608216,numpy_ridge
leave_arrival_poisson,taps_admission_v4,mean_jct,86,2.5716588852694997,8.016664593818941,numpy_ridge
leave_arrival_poisson,taps_admission_v4,throughput,86,0.009851605573676564,0.0395593184051029,numpy_ridge
leave_arrival_poisson,taps_admission_v4,ready_queue_wait,86,867.3162854876559,3274.7518228608023,numpy_ridge
leave_arrival_poisson,taps_admission_v4,region_utilization,86,0.040825391526916,0.10516823364599366,numpy_ridge
leave_arrival_poisson,taps_unified_v5,p95_jct,86,8.831287282572134,35.13132262945416,numpy_ridge
leave_arrival_poisson,taps_unified_v5,mean_jct,86,3.287371852418538,10.853960131123163,numpy_ridge
leave_arrival_poisson,taps_unified_v5,throughput,86,0.018710562023311478,0.0525787840903742,numpy_ridge
leave_arrival_poisson,taps_unified_v5,ready_queue_wait,86,557.5719437136191,2363.9583688718967,numpy_ridge
leave_arrival_poisson,taps_unified_v5,region_utilization,86,0.06592985266379786,0.16119451154858594,numpy_ridge
leave_arrival_poisson,taps_unified_adaptive_v6,p95_jct,86,8.332064899266996,29.16396148985855,numpy_ridge
leave_arrival_poisson,taps_unified_adaptive_v6,mean_jct,86,3.7302473598264783,13.11901836465881,numpy_ridge
leave_arrival_poisson,taps_unified_adaptive_v6,throughput,86,0.019672793441468342,0.05473212520219898,numpy_ridge
leave_arrival_poisson,taps_unified_adaptive_v6,ready_queue_wait,86,617.202687799594,2455.5317544095974,numpy_ridge
leave_arrival_poisson,taps_unified_adaptive_v6,region_utilization,86,0.07042429817344864,0.17629110552231753,numpy_ridge
leave_session_16,reactive_admission,p95_jct,90,3.870616076744355,11.15428746482347,numpy_ridge
leave_session_16,reactive_admission,mean_jct,90,2.9758904063424154,8.919837538664083,numpy_ridge
leave_session_16,reactive_admission,throughput,90,0.00920693271235934,0.033948535126529775,numpy_ridge
