total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error,slo_target,taps_u_p95_gain_over_reactive,taps_u_p95_gain_over_acd_nisp,taps_u_throughput_gain_over_reactive,taps_u_ready_wait_gain_over_reactive,taps_u_region_util_gain_over_reactive,strongest_baseline_p95,strongest_baseline_throughput,taps_u_p95_gain_over_strongest,taps_u_throughput_gain_over_strongest
64,8,4,bursty,32,static_admission,0.08027127484697906,38.154939231203436,28.62057687032018,84.66666138658309,186.10377486109985,527.760922595322,584.43336334278,0.31619637059056666,0.14200274675922725,0.0,0.0,0.0,403,0,0,0,2918470,0,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.05272511972028119,0.05272511972028119,-0.011308692895275377,-0.22630837491521455,-0.007807245184545564,78.67939025902366,0.19765111103165206,-0.004031901470188808,-0.011308692895275377
64,8,4,bursty,32,reactive_admission,0.19765111103165206,30.296631043724368,19.907298761009088,83.39355286710003,182.1800321941109,202.2350517294156,157.4983783445849,0.6415964165135102,0.34965186139140886,0.9863760806175839,206342692864.0,1.0,438,16559915008,0,0,39761,2878709,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.05272511972028119,0.05272511972028119,-0.011308692895275377,-0.22630837491521455,-0.007807245184545564,78.67939025902366,0.19765111103165206,-0.004031901470188808,-0.011308692895275377
64,8,4,bursty,32,acd_nisp,0.19765111103165206,30.296631043724368,19.907298761009088,83.39355286710003,182.1800321941109,202.2350517294156,157.4983783445849,0.6415964165135102,0.34965186139140886,0.9863760806175839,206342692864.0,1.0,438,16559915008,0,0,39761,2878709,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.05272511972028119,0.05272511972028119,-0.011308692895275377,-0.22630837491521455,-0.007807245184545564,78.67939025902366,0.19765111103165206,-0.004031901470188808,-0.011308692895275377
64,8,4,bursty,32,taps_admission_v4,0.19672432145520127,30.943032488116717,20.886779197558127,78.67939025902366,180.47004849767234,244.0358138386343,169.4784739089638,0.6382567021256595,0.34801233759195876,0.9888283929593246,202955497472.0,1.0,602,16559915008,0,0,32604,2885866,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.05272511972028119,0.05272511972028119,-0.011308692895275377,-0.22630837491521455,-0.007807245184545564,78.67939025902366,0.19765111103165206,-0.004031901470188808,-0.011308692895275377
64,8,4,bursty,32,taps_domain_v4,0.19649951790491596,30.21010249596846,19.054699167599132,81.70707732910941,182.86470241568327,196.60785861018954,160.55838492112719,0.6379268186602953,0.3476146520975819,0.9845175725637063,161410342912.0,1.0,444,16559915008,0,0,45185,2873285,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.05272511972028119,0.05272511972028119,-0.011308692895275377,-0.22630837491521455,-0.007807245184545564,78.67939025902366,0.19765111103165206,-0.004031901470188808,-0.011308692895275377
64,8,4,bursty,32,taps_unified,0.19541593531658513,31.000456642259607,20.212661482987635,78.99661780828258,184.13160515717163,248.002537637194,167.26354624372846,0.6337891713289646,0.34569775587067186,0.9893451020568996,162032009216.0,1.0,606,16559915008,0,0,31096,2887374,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.05272511972028119,0.05272511972028119,-0.011308692895275377,-0.22630837491521455,-0.007807245184545564,78.67939025902366,0.19765111103165206,-0.004031901470188808,-0.011308692895275377
64,16,1,bursty,32,static_admission,0.06944014783995504,154.03711196891646,148.7633844780732,201.99218531168594,259.1537546045254,8272.911794947795,241.9399049352493,0.7374946442642437,0.06142104848488982,0.0,0.0,0.0,386,0,0,0,2918470,0,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.0721775766005885,0.0721775766005885,-0.00694897891303495,0.1175289205517321,-0.0069339474786080935,170.78796012414642,0.11423379055701857,0.0721775766005885,-0.00694897891303495
64,16,1,bursty,32,reactive_admission,0.11423379055701857,106.41602788930831,99.57258633426159,170.78796012414642,257.45291726584014,5345.836885450667,1.2118945121765137,0.9978368858768567,0.10104182388244072,0.9898827125171751,0.0,0.0,393,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.0721775766005885,0.0721775766005885,-0.00694897891303495,0.1175289205517321,-0.0069339474786080935,170.78796012414642,0.11423379055701857,0.0721775766005885,-0.00694897891303495
64,16,1,bursty,32,acd_nisp,0.11423379055701857,106.41602788930831,99.57258633426159,170.78796012414642,257.45291726584014,5345.836885450667,1.2118945121765137,0.9978368858768567,0.10104182388244072,0.9898827125171751,0.0,0.0,393,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.0721775766005885,0.0721775766005885,-0.00694897891303495,0.1175289205517321,-0.0069339474786080935,170.78796012414642,0.11423379055701857,0.0721775766005885,-0.00694897891303495
64,16,1,bursty,32,taps_admission_v4,0.11266528489357777,110.64948929824185,104.57918313530382,187.19925661502535,265.10606912530847,5616.778415622405,9.01165663762481,0.9841359240243578,0.09965445266564753,0.9898827125171751,0.0,0.0,614,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.0721775766005885,0.0721775766005885,-0.00694897891303495,0.1175289205517321,-0.0069339474786080935,170.78796012414642,0.11423379055701857,0.0721775766005885,-0.00694897891303495
