policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,algorithm,split,objective,p95_gain_vs_base,throughput_gain_vs_base,cfg_w_domain,cfg_w_batch,cfg_w_hot,cfg_w_resume,cfg_w_age,cfg_w_short,cfg_w_remote,cfg_w_evict,cfg_tau,total_sessions,active_session_limit,throughput,ready_queue_empty_time,blocked_session_fraction,admission_count,eviction_count,cfg_w_reuse,cfg_w_llm,cfg_w_stall,cfg_w_sram,cfg_w_tool_penalty,mean_cost_to_patch,mean_tokens_to_patch,patch_instances,cfg_w_patch,cfg_w_test,cfg_w_return,cfg_w_file,cfg_w_duplicate,cfg_w_error,cfg_w_token,cfg_w_stale
taps_domain,32,bursty,4,0.19710860078056874,50.44163562123825,45.95593530187661,117.09231933558968,158.29945780617933,922.843555329597,0.47027833476783865,0.9797174598087913,58669449216.0,1.0,11.44542772861357,279,32,taps_domain,train,122.12662746767448,-0.0712626854021553,-0.038261893772518416,0.5,0,0.3,0,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.2460327507472482,50.73463553065378,53.706840324153525,104.66776091341795,128.65306635230215,931.9476245573677,0.5875283816820123,0.9719492365302331,31350595584.0,1.0,11.480825958702065,265,32,taps_domain,train,109.72892282894597,0.04240801388705202,0.2004502636443186,0.5,0,0.3,0.5,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.2222663205773763,49.92202984713193,52.22809585495218,110.199770125059,140.334531919734,906.287145513715,0.5301785009895259,0.9797174598087913,44474458112.0,1.0,11.253687315634219,278,32,taps_domain,train,115.18085979374332,-0.008203632353785595,0.08448839565457043,0.5,0,0.3,0.5,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.19710860078056874,50.44163562123825,45.95593530187661,117.09231933558968,158.29945780617933,922.843555329597,0.47027833476783865,0.9797174598087913,58669449216.0,1.0,11.44542772861357,279,32,taps_domain,train,122.12662746767448,-0.0712626854021553,-0.038261893772518416,0.5,0,0.3,0.5,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.24571447319125161,50.611010578926674,52.5482582726011,104.47475616994463,128.81528923970805,928.0049869673803,0.5867426839581783,0.9719492365302331,28678422528.0,1.0,11.448377581120944,265,32,taps_domain,train,109.52357150417774,0.044173789652377934,0.19889731439326266,0.5,0,0.3,1.0,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.22072087534762222,49.94301271238957,52.00894806397777,110.618889029575,141.0300935511031,906.9671411712388,0.5264773712034867,0.9797174598087913,42765664256.0,1.0,11.28613569321534,277,32,taps_domain,train,115.60215425704658,-0.012038097720107445,0.0769478136472098,0.5,0,0.3,1.0,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.19710860078056874,50.44163562123825,45.95593530187661,117.09231933558968,158.29945780617933,922.843555329597,0.47027833476783865,0.9797174598087913,58669449216.0,1.0,11.44542772861357,279,32,taps_domain,train,122.12662746767448,-0.0712626854021553,-0.038261893772518416,0.5,0,0.3,1.0,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.2457673703506351,48.54994667486284,47.20855777771844,103.5689326339704,126.56837056903635,862.0213124440108,0.5869258878457464,0.9753556232085314,70315843584.0,1.0,10.613569321533923,245,32,taps_domain,train,108.41163893293916,0.05246105357501918,0.19915541177556262,0.5,0,0.8,0,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.23060896761308197,47.636934903027964,49.65149935986628,106.45457585126464,135.058729157933,833.0382419395628,0.5503052295729919,0.9793880966369349,66110005248.0,1.0,10.466076696165192,260,32,taps_domain,train,111.20673889318678,0.02606067206740349,0.1251940854584161,0.5,0,0.8,0,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.2277876754864254,47.488786727610645,44.8981523960541,107.43301807979662,136.716761908235,828.3872147096058,0.5434130879266995,0.980881358044473,63910920192.0,1.0,10.495575221238939,260,32,taps_domain,train,112.17050736878338,0.017109028994692896,0.11142835359151583,0.5,0,0.8,0,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
