policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,domain_remote_kv_reduction,domain_p95_jct_gain,domain_mean_jct_gain,domain_ready_wait_gain
taps_domain,16,closed_loop,4,0.1205119685104659,33.63880445377454,23.165472593701764,98.17730133151238,125.84897713279011,172.2886655918815,0.2368984426903084,0.9772236326217909,35249815552.0,1.0,4.064516129032258,90,16,0.20694504292271845,0.011538011793095725,0.14398556288856887,0.34336954305229117
naive_wafer,32,closed_loop,4,0.11614180704418624,81.88697537533282,72.1408954308724,139.49701167630369,238.9929650511279,1712.9842039690636,0.28667271068637634,0.0,0.0,0.0,18.05128205128205,232,32,0.3250136078055657,-0.05550336593047206,0.2519299433934059,0.40027401287410497
acd_nisp,32,closed_loop,4,0.11702283559173855,72.07524415597122,60.65769885385974,132.4811842573838,235.84832162087503,1449.0000558734484,0.24314330621357602,0.9618356575224758,80383041536.0,1.0,17.775641025641026,220,32,0.3250136078055657,-0.05550336593047206,0.2519299433934059,0.40027401287410497
taps_domain,32,closed_loop,4,0.12064675723949367,53.91733197569148,45.52296033808234,139.83433590612367,234.65578824757029,869.0029888541809,0.24967743039717466,0.9806368075356375,54257459200.0,1.0,11.16025641025641,223,32,0.3250136078055657,-0.05550336593047206,0.2519299433934059,0.40027401287410497
naive_wafer,64,closed_loop,4,0.19081801949819752,153.12923663264903,146.99183767160798,197.35655999920743,329.205374550024,7995.606120695837,0.4774936572763163,0.0,0.0,0.0,41.19329073482428,437,64,0.46138567793828533,-0.20448811182260918,0.31969736130137616,0.40046611629618667
acd_nisp,64,closed_loop,4,0.20356022369033655,131.43095267761817,123.36522168175671,186.8971362193102,312.43446566253385,6710.5529753876,0.42697140341478224,0.9746006477381303,167367524352.0,1.0,40.61980830670927,451,64,0.46138567793828533,-0.20448811182260918,0.31969736130137616,0.40046611629618667
taps_domain,64,closed_loop,4,0.22510364181382037,89.4128239132576,89.70494565164478,225.11537870984992,284.07457379109815,4023.203887134308,0.47056656207246367,0.9887105407678779,90146545664.0,1.0,25.027156549520768,375,64,0.46138567793828533,-0.20448811182260918,0.31969736130137616,0.40046611629618667
naive_wafer,8,closed_loop,8,0.06443211789382242,35.653007156265716,15.660442114020722,106.83370852174522,120.69608565896726,0.0,0.08587749039927159,0.0,0.0,0.0,1.0,41,8,0.29898570236954014,0.00012183225780993048,0.0001763134880955129,0.0
acd_nisp,8,closed_loop,8,0.06520596628475511,34.17203519186473,12.848697563362595,105.54880022066013,119.2602877435627,0.0,0.0748378779256476,0.9558391284873096,32242294784.0,1.0,1.0,47,8,0.29898570236954014,0.00012183225780993048,0.0001763134880955129,0.0
taps_domain,8,closed_loop,8,0.06521536797579694,34.16601020114473,12.846207400162594,105.53594097202011,119.2435661471467,0.0,0.07479955314090268,0.9558391284873096,22602309632.0,1.0,1.0,47,8,0.29898570236954014,0.00012183225780993048,0.0001763134880955129,0.0
naive_wafer,16,closed_loop,8,0.12779478439546835,28.535259395845276,17.36951604919948,90.08624899211124,118.1778319422886,63.53328052303407,0.15266259895934686,0.0,0.0,0.0,3.0903225806451613,111,16,0.3761602049557591,-0.01016526676160302,0.006418216879693638,0.043617539797873826
acd_nisp,16,closed_loop,8,0.12967557816577518,26.195139749525897,14.137480946724118,87.9921669072462,116.30630251958937,52.40682049243337,0.12824944417143136,0.9596103291321787,100544331776.0,1.0,2.890322580645161,110,16,0.3761602049557591,-0.01016526676160302,0.006418216879693638,0.043617539797873826
taps_domain,16,closed_loop,8,0.12626692158546476,26.027013661419556,14.320564211615464,88.88663075678986,119.14987756290259,50.120963913924626,0.12447958637210077,0.9678889573224775,62723555328.0,1.0,2.806451612903226,112,16,0.3761602049557591,-0.01016526676160302,0.006418216879693638,0.043617539797873826
naive_wafer,32,closed_loop,8,0.12171743560731575,48.50197116223403,36.008784581650396,111.98443908442157,223.28053218678392,644.6640691499027,0.15021751465460056,0.0,0.0,0.0,13.926282051282051,235,32,0.5224402584152634,-0.05448692947692102,0.14099541279146238,0.3624527485278238
acd_nisp,32,closed_loop,8,0.12239365176075619,43.69409834549056,30.0760566881335,108.99433900693768,221.3757924631713,540.1048089654528,0.12748523102512052,0.9591614105289286,193742036992.0,1.0,13.551282051282051,241,32,0.5224402584152634,-0.05448692947692102,0.14099541279146238,0.3624527485278238
taps_domain,32,closed_loop,8,0.1255342347614431,37.533430912717364,27.64460165448949,114.93310586979231,219.71710985387793,344.3423364628292,0.13008030097107506,0.9768882768695422,92523397120.0,1.0,8.85897435897436,243,32,0.5224402584152634,-0.05448692947692102,0.14099541279146238,0.3624527485278238
naive_wafer,64,closed_loop,8,0.2289761297477264,82.76639231093185,72.43657068821528,152.7279514860449,276.44261738839236,3492.3840841059346,0.2864893208454325,0.0,0.0,0.0,36.180511182108624,478,64,0.3948515608759884,-0.10645634243829617,0.26654177688336794,0.4207544984217196
acd_nisp,64,closed_loop,8,0.23142629284660368,72.37115709055543,61.2741368426141,146.31914962020534,273.6226850674592,2929.624225806815,0.24320853717740432,0.9732941260980691,361376727040.0,1.0,35.52715654952077,482,64,0.3948515608759884,-0.10645634243829617,0.26654177688336794,0.4207544984217196
taps_domain,64,closed_loop,8,0.24165976290495647,53.08122028453343,42.339857615743426,161.8957511174542,264.65574881783834,1696.97165411335,0.2530646264212564,0.9850848756313438,218686562304.0,1.0,21.356230031948883,417,64,0.3948515608759884,-0.10645634243829617,0.26654177688336794,0.4207544984217196
naive_wafer,8,closed_loop,16,0.06443211789382242,35.653007156265716,15.660442114020722,106.83370852174522,120.69608565896726,0.0,0.042938745199635794,0.0,0.0,0.0,1.0,41,8,0.29898570236954014,0.00012183225780993048,0.0001763134880955129,0.0
acd_nisp,8,closed_loop,16,0.06520596628475511,34.17203519186473,12.848697563362595,105.54880022066013,119.2602877435627,0.0,0.0374189389628238,0.9558391284873096,32242294784.0,1.0,1.0,47,8,0.29898570236954014,0.00012183225780993048,0.0001763134880955129,0.0
taps_domain,8,closed_loop,16,0.06521536797579694,34.16601020114473,12.846207400162594,105.53594097202011,119.2435661471467,0.0,0.03739977657045134,0.9558391284873096,22602309632.0,1.0,1.0,47,8,0.29898570236954014,0.00012183225780993048,0.0001763134880955129,0.0
naive_wafer,16,closed_loop,16,0.12886423578764483,24.564429363155647,13.332976551434097,87.03031261142796,116.73540647690382,0.0,0.07697007840074865,0.0,0.0,0.0,1.0,111,16,0.6017296470152927,0.00011018465003818176,0.0011995438795838439,0.0
acd_nisp,16,closed_loop,16,0.13040355680008897,22.93401215930881,11.190207344906694,85.96618128494782,115.35006812640422,0.0,0.06460124586172876,0.9596103291321787,146300141568.0,1.0,1.0,109,16,0.6017296470152927,0.00011018465003818176,0.0011995438795838439,0.0
taps_domain,16,closed_loop,16,0.13042533408784845,22.90650180538881,11.169718907146693,85.95670913134782,115.33178432173224,0.0,0.0643877812733581,0.9596103291321787,58267009024.0,1.0,1.0,112,16,0.6017296470152927,0.00011018465003818176,0.0011995438795838439,0.0
naive_wafer,32,closed_loop,16,0.1251870120700661,32.37608649139856,17.864461189951996,99.51180289303642,215.30609072382586,128.63575968316812,0.07724974538927329,0.0,0.0,0.0,6.339743589743589,255,32,0.5948786705501868,-0.04215943141179432,0.016496105754738165,0.13765389793064037
acd_nisp,32,closed_loop,16,0.12576111288093653,30.13191749720356,14.962114771820138,97.82199600355284,213.94403296876175,105.33209243274956,0.06568869804263187,0.9591614105289286,350327914496.0,1.0,5.907051282051282,257,32,0.5948786705501868,-0.04215943141179432,0.016496105754738165,0.13765389793064037
taps_domain,32,closed_loop,16,0.12567592545922968,29.634858199576644,15.473113365748217,101.94611573462944,215.35234316649905,90.83271933219108,0.06529895556829422,0.9665691458456683,141925310464.0,1.0,4.94551282051282,257,32,0.5948786705501868,-0.04215943141179432,0.016496105754738165,0.13765389793064037
naive_wafer,64,closed_loop,16,0.24270533311673154,48.605086907136624,36.15396107030132,129.88792667095333,262.2223226983382,1306.06053826304,0.15183348178428913,0.0,0.0,0.0,27.67252396166134,510,64,0.5608948156539046,-0.06067358874120773,0.1534480903006881,0.39161712844275526
acd_nisp,64,closed_loop,16,0.24421113953282367,43.57223580516146,30.333133473737128,125.92378790996833,260.6479331788544,1084.5621630539217,0.1287826825816151,0.9732941260980691,747596824576.0,1.0,26.769968051118212,507,64,0.5608948156539046,-0.06067358874120773,0.1534480903006881,0.39161712844275526
taps_domain,64,closed_loop,16,0.24802904138091167,36.88615943072817,26.44210840040419,133.5640360303528,257.41330484722,659.8290431410816,0.1300267994951232,0.9839807238817325,328273641472.0,1.0,16.89297124600639,484,64,0.5608948156539046,-0.06067358874120773,0.1534480903006881,0.39161712844275526
naive_wafer,8,poisson,1,0.05331755203039212,78.43114444947149,63.55235201662774,137.20186276834053,146.65001209675722,342.22509834564624,0.5685087142593108,0.0,0.0,0.0,2.675324675324675,42,8,0.0,-0.0046162390515567565,0.11810956549159779,0.23063314130727597
acd_nisp,8,poisson,1,0.05533014592382109,69.91592885881812,52.52962504428276,131.60865106147835,141.16516490671938,286.437237307697,0.5046640763365022,0.9831131338296405,0.0,0.0,2.7012987012987013,43,8,0.0,-0.0046162390515567565,0.11810956549159779,0.23063314130727597
taps_domain,8,poisson,1,0.05038419656631627,61.65818888036165,46.43970348991053,132.21618805603106,152.64131535316818,220.37531748004517,0.45955226753070477,0.9831131338296405,0.0,0.0,2.2467532467532467,23,8,0.0,-0.0046162390515567565,0.11810956549159779,0.23063314130727597
naive_wafer,16,poisson,1,0.08721687289867219,124.57293978075464,125.01651221861388,172.58954117509745,173.75000546427077,1600.1361666815842,0.8335084755017884,0.0,0.0,0.0,7.806451612903226,143,16,0.0,-0.06951505195662705,0.20847881112790947,0.2671136487458394
