config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions
aligned_v8:ts16:al4:er4:arrpoisson:mem8,16,4,4,poisson,8,taps_unified_adaptive_v6,0.11040314812494588,26.636240943025452,90.42186480202565,122.73286605244716,0.0,0.3209570166462269,0.987216271838243,0.4142241969349201,11150196736.0,5982928896,0,16
aligned_v8:ts128:al32:er8:arrclosed_loop:mem16,128,32,8,closed_loop,16,reactive_admission,0.24906678740881855,68.48598811119052,122.43117444872385,282.65220017954806,4400.4197089305035,0.5878991408880723,0.9863437101325049,0.11849701290833968,870265389056.0,16559915008,0,128
aligned_v8:ts128:al32:er8:arrclosed_loop:mem16,128,32,8,closed_loop,16,acd_nisp,0.24906678740881855,68.48598811119052,122.43117444872385,282.65220017954806,4400.4197089305035,0.5878991408880723,0.9863437101325049,0.11849701290833968,870265389056.0,16559915008,0,128
aligned_v8:ts128:al32:er8:arrclosed_loop:mem16,128,32,8,closed_loop,16,taps_domain_v4,0.2691196741092948,65.12386011169232,232.10123557613554,272.7114162452708,3971.824032467166,0.6347704431742764,0.9894392806824097,0.12803745464654484,815431106560.0,16559915008,9,128
aligned_v8:ts128:al32:er8:arrclosed_loop:mem16,128,32,8,closed_loop,16,taps_admission_v4,0.3143966641534255,67.54420124203895,128.41242801772904,283.76948288339906,4282.604570469418,0.7412649934229999,0.992294277373424,0.14957861687667282,892943048704.0,16559915008,0,128
aligned_v8:ts128:al32:er8:arrclosed_loop:mem16,128,32,8,closed_loop,16,taps_unified_v5,0.2410516249727628,74.65609585036542,168.60325798677306,285.9052136579599,3754.944739297814,0.5748540023618175,0.9914256866656161,0.13294868930088907,510281662464.0,16559915008,29,99
aligned_v8:ts128:al32:er8:arrclosed_loop:mem16,128,32,8,closed_loop,16,taps_unified_adaptive_v6,0.23044647742174335,71.65817590294401,164.89291484158477,284.18398575462436,3209.6620650398336,0.5468082776619752,0.9896220155133086,0.1308007818682341,466373476352.0,16559915008,35,93
aligned_v8:ts128:al4:er1:arrpoisson:mem64,128,4,1,poisson,64,reactive_admission,0.10985366634079673,35.17103649916601,87.16050948119302,267.6353158880031,1433.098646558446,0.9612750657559654,0.9948254718129965,0.4181153642792898,0.0,16559915008,0,128
aligned_v8:ts128:al4:er1:arrpoisson:mem64,128,4,1,poisson,64,acd_nisp,0.10985366634079673,35.17103649916601,87.16050948119302,267.6353158880031,1433.098646558446,0.9612750657559654,0.9948254718129965,0.4181153642792898,0.0,16559915008,0,128
aligned_v8:ts128:al4:er1:arrpoisson:mem64,128,4,1,poisson,64,taps_domain_v4,0.10937065285932579,35.270612010123436,100.05043289301861,278.18612120909506,1445.8443119609974,0.9570484538309565,0.9948254718129965,0.41627696084238996,0.0,16559915008,0,128
aligned_v8:ts128:al4:er1:arrpoisson:mem64,128,4,1,poisson,64,taps_admission_v4,0.10152072575941612,34.83914485882371,91.29424119453043,259.2502158743738,1390.6165165946302,0.8883576268381123,0.9948254718129965,0.38639925863841973,0.0,16559915008,0,128
aligned_v8:ts128:al4:er1:arrpoisson:mem64,128,4,1,poisson,64,taps_unified_v5,0.1017976233943641,35.61517639402231,94.09457512761375,257.8289126833904,1489.9485531000505,0.8907806210003327,0.9948254718129965,0.38745316206614133,0.0,16559915008,0,128
aligned_v8:ts128:al4:er1:arrpoisson:mem64,128,4,1,poisson,64,taps_unified_adaptive_v6,0.10179574849695602,34.73761878016192,96.52685301990068,258.3629530374192,1377.6211785259213,0.8907642147010325,0.9948254718129965,0.38744602599650524,0.0,16559915008,0,128
aligned_v8:ts64:al32:er4:arrpoisson:mem16,64,32,4,poisson,16,reactive_admission,0.20677347446751668,81.4694422011088,137.26076454423276,227.15686115442924,3477.5861046174437,0.6709734179006703,0.9881198024992548,0.09144741187713097,206953750528.0,16559915008,0,64
aligned_v8:ts64:al32:er4:arrpoisson:mem16,64,32,4,poisson,16,acd_nisp,0.20677347446751668,81.4694422011088,137.26076454423276,227.15686115442924,3477.5861046174437,0.6709734179006703,0.9881198024992548,0.09144741187713097,206953750528.0,16559915008,0,64
aligned_v8:ts64:al32:er4:arrpoisson:mem16,64,32,4,poisson,16,taps_domain_v4,0.19807767182695982,70.59781680953401,170.31012928839166,236.10104419327286,2781.9163355758224,0.6426674074157948,0.9881691434210391,0.08760161566114594,185803620352.0,16559915008,7,64
aligned_v8:ts64:al32:er4:arrpoisson:mem16,64,32,4,poisson,16,taps_admission_v4,0.21538403697350295,78.2391669893455,134.47863212554014,224.26553208632527,3270.8523873847257,0.6989111441303197,0.9881372774090533,0.09525550988393022,206755053568.0,16559915008,0,64
aligned_v8:ts64:al32:er4:arrpoisson:mem16,64,32,4,poisson,16,taps_unified_v5,0.22089354767923539,69.15135029500873,129.79248790780798,218.76746751275448,2689.589220298716,0.7164811187345106,0.9893159772072353,0.09769214009506355,175133736960.0,16559915008,0,64
aligned_v8:ts64:al32:er4:arrpoisson:mem16,64,32,4,poisson,16,taps_unified_adaptive_v6,0.2198577723920741,70.06015841144682,130.13783810919543,213.94047390476683,2747.7717330383052,0.7131053810766432,0.9888270223781639,0.09723405924334363,154933166080.0,16559915008,0,64
aligned_v8:ts16:al16:er4:arrpoisson:mem64,16,16,4,poisson,64,reactive_admission,0.110169879128012,50.35811036663443,111.37348098918326,137.73927803669372,378.91257500911274,0.3213759844132312,0.9751776352356202,0.10333724735949497,46080720896.0,5982928896,0,16
aligned_v8:ts16:al16:er4:arrpoisson:mem64,16,16,4,poisson,64,acd_nisp,0.110169879128012,50.35811036663443,111.37348098918326,137.73927803669372,378.91257500911274,0.3213759844132312,0.9751776352356202,0.10333724735949497,46080720896.0,5982928896,0,16
aligned_v8:ts16:al16:er4:arrpoisson:mem64,16,16,4,poisson,64,taps_domain_v4,0.11244259742595841,44.0429336841771,100.11350670364635,133.1389385276104,277.99064590801044,0.32779331194071304,0.9774429539275038,0.10546901381682627,39293255680.0,5982928896,0,16
aligned_v8:ts16:al16:er4:arrpoisson:mem64,16,16,4,poisson,64,taps_admission_v4,0.110169879128012,50.35811036663443,111.37348098918326,137.73927803669372,378.91257500911274,0.3213759844132312,0.9751776352356202,0.10333724735949497,46080720896.0,5982928896,0,16
aligned_v8:ts16:al16:er4:arrpoisson:mem64,16,16,4,poisson,64,taps_unified_v5,0.10592193875781938,45.60216752898606,113.28246087102909,142.78057692125483,302.9381018518338,0.30878472261776174,0.9774429539275038,0.09935276023581467,39350370304.0,5982928896,0,16
aligned_v8:ts16:al16:er4:arrpoisson:mem64,16,16,4,poisson,64,taps_unified_adaptive_v6,0.10599788431642956,47.340875583063884,114.0919504657985,142.8558925175153,330.6896930806242,0.3091183081105554,0.9751776352356202,0.09942399572266525,35505799168.0,5982928896,0,16
aligned_v8:ts16:al8:er8:arrclosed_loop:mem64,16,8,8,closed_loop,64,reactive_admission,0.11263193530883586,31.929565831833546,96.77013794280418,132.9985278353381,0.0,0.23824288086493844,0.9719253706680286,0.21129321828634806,57326739456.0,5982928896,0,16
aligned_v8:ts16:al8:er8:arrclosed_loop:mem64,16,8,8,closed_loop,64,acd_nisp,0.11263193530883586,31.929565831833546,96.77013794280418,132.9985278353381,0.0,0.23824288086493844,0.9719253706680286,0.21129321828634806,57326739456.0,5982928896,0,16
aligned_v8:ts16:al8:er8:arrclosed_loop:mem64,16,8,8,closed_loop,64,taps_domain_v4,0.11264310297737426,31.929050685593545,96.76599835112418,132.98643296788208,0.0,0.23825924963645828,0.9719253706680286,0.21131416840693115,55678271488.0,5982928896,0,16
aligned_v8:ts16:al8:er8:arrclosed_loop:mem64,16,8,8,closed_loop,64,taps_admission_v4,0.11263333955780652,31.90934370739922,96.6715691211832,132.9773972154619,0.0,0.23796114050387998,0.9797067704186634,0.21129585260390168,79433023488.0,5982928896,0,16
aligned_v8:ts16:al8:er8:arrclosed_loop:mem64,16,8,8,closed_loop,64,taps_unified_v5,0.11264596027373325,31.90660239539922,96.66608710646318,132.9635683801339,0.0,0.23794920465173258,0.9797067704186634,0.2113195285860103,70660825088.0,5982928896,0,16
aligned_v8:ts16:al8:er8:arrclosed_loop:mem64,16,8,8,closed_loop,64,taps_unified_adaptive_v6,0.11264596027373325,31.90660239539922,96.66608710646318,132.9635683801339,0.0,0.23794920465173258,0.9797067704186634,0.2113195285860103,70660825088.0,5982928896,0,16
aligned_v8:ts32:al8:er16:arrpoisson:mem64,32,8,16,poisson,64,reactive_admission,0.09585631902374572,46.6525501418141,123.06433910458702,239.47325414203948,0.0,0.16876419969929268,0.9804644794704311,0.22146431680954298,389960761344.0,10583121920,0,32
aligned_v8:ts32:al8:er16:arrpoisson:mem64,32,8,16,poisson,64,acd_nisp,0.09585631902374572,46.6525501418141,123.06433910458702,239.47325414203948,0.0,0.16876419969929268,0.9804644794704311,0.22146431680954298,389960761344.0,10583121920,0,32
aligned_v8:ts32:al8:er16:arrpoisson:mem64,32,8,16,poisson,64,taps_domain_v4,0.09589614083196024,46.6000267293341,123.05191698925903,239.43372861735466,0.0,0.1685195102588738,0.9804644794704311,0.22155632023341898,53810921472.0,10583121920,0,32
