instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_file_modification,time_to_first_nonempty_patch,tokens_to_first_file_modification,tokens_to_first_nonempty_patch,cost_to_patch,branches_pruned,official_success_if_available,snapshot_events_available,file_modification_seen,oracle_gap,snapshot_gain_vs_fcfs,snapshot_gain_vs_pabb_v3
django__django-11964,pabb_online_v3,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_online_v3,4,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,1,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_snapshot_online,4,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,1,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,1,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,2,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,2,15,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,4,10,,,,,,0,unknown,0,0,,,
django__django-11964,pabb_oracle_upper_bound,4,15,,,,,,0,unknown,0,0,,,
django__django-11999,fcfs_budget,1,5,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,1,10,,9.160701915397174,,25140,9.160701915397174,0,unknown,0,0,,,
django__django-11999,fcfs_budget,1,15,,13.21544010255439,,46951,13.21544010255439,0,unknown,0,0,,,
django__django-11999,fcfs_budget,2,5,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,2,10,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,2,15,,7.3293292684463465,,18355,7.3293292684463465,0,unknown,0,0,,,
django__django-11999,fcfs_budget,4,5,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,fcfs_budget,4,10,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
django__django-11999,fcfs_budget,4,15,,12.788905352829778,,25118,12.788905352829778,0,unknown,0,0,,,
