mode,config_id,replicate_id,prefill_latency,decode_latency,local_memory_latency,noC_latency,tool_latency,queueing_latency,model_side_latency,mean_jct,p95_jct
gpu_reactive,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,257.77408000000025,113.00487912000007,0.0,0.0,1044.7059667110443,0.0,370.77895912,22.11695196611007,70.43816013015564
naive_wafer,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,257.77408000000025,113.00487912000007,0.0,3.0189655507041797,1044.7059667110443,0.02426687116564417,389.6199246707041,22.41134205283982,71.006518039765
acd_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,12.537220000000026,113.00487912000007,0.15625402777600003,0.07704481742699432,1044.7059667110443,0.02426687116564417,141.59739796520304,18.535990073066365,68.67513666877329
nisp_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,256.2997000000002,113.00487912000007,0.0009394094079999999,3.0014229210788095,1044.7059667110443,0.02426687116564417,388.12894145048676,22.388045440023923,71.006518039765
acd_nisp,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,11.062840000000016,113.00487912000007,0.15719343718400003,0.05950218780162353,1044.7059667110443,0.02426687116564417,140.1064147449857,18.512693460250468,68.67513666877329
acd_nisp_taps_c,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,11.062840000000016,113.00487912000007,0.15719343718400003,0.05104633560017163,1044.7059667110443,0.020626840490797545,137.72465889278408,18.47547852505982,68.59413199490564
full_agentweaver,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,1,11.062840000000016,113.00487912000007,0.15719343718400003,0.05104633560017163,1035.0821205139173,0.020626840490797545,137.72465889278408,18.32510592822969,67.96462600678461
gpu_reactive,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,290.41616000000005,120.67186296000008,0.0,0.0,905.1474740505219,0.0,411.0880229599999,20.566179640789404,70.43816013015564
naive_wafer,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,290.41616000000005,120.67186296000008,0.0,3.4054743428457983,905.1474740505219,0.023444608567208272,430.3654973028458,20.86739017739637,70.92651803976501
acd_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,11.158130000000023,120.67186296000008,0.17793080524800017,0.057659982987918475,905.1474740505219,0.023444608567208272,147.93758374823588,16.45445402810559,68.59513666877329
nisp_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,289.67699000000005,120.67186296000008,0.00047096627199999996,3.396679469380216,905.1474740505219,0.023444608567208272,429.6180033956522,20.85571058509647,70.92651803976501
acd_nisp,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,10.418960000000016,120.67186296000008,0.17840177152000017,0.04886510952233611,905.1474740505219,0.023444608567208272,147.1900898410423,16.442774435805692,68.59513666877329
acd_nisp_taps_c,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,10.418960000000016,120.67186296000008,0.17840177152000017,0.041085728227862,905.1474740505219,0.01992791728212703,144.80151045974796,16.405452882972963,68.5261306615723
full_agentweaver,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem16,2,10.418960000000016,120.67186296000008,0.17840177152000017,0.041085728227862,897.0188374545577,0.01992791728212703,144.80151045974796,16.27844293616102,67.89662467345127
gpu_reactive,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,269.1722999999999,111.42095359999993,0.0,0.0,905.7462520599365,0.0,380.59325360000025,20.09905477593651,70.43816013015564
naive_wafer,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,269.1722999999999,111.42095359999993,0.0,3.154432980626406,905.7462520599365,0.02319815668202765,398.8496865806263,20.384311541258796,70.70562844858564
acd_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,12.56016000000002,111.42095359999993,0.16350185062399974,0.07742074774337118,905.7462520599365,0.02319815668202765,139.32403619836725,16.329223254036,68.3751366687733
nisp_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,267.69395999999983,111.42095359999993,0.0009419325439999999,3.1368432336952417,905.7462520599365,0.02319815668202765,397.3546987662391,20.360952356659,70.70562844858564
acd_nisp,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,11.08182000000002,111.42095359999993,0.1644437831679997,0.05983100081220645,905.7462520599365,0.02319815668202765,137.8290483839801,16.3058640694362,68.3751366687733
acd_nisp_taps_c,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,11.08182000000002,111.42095359999993,0.1644437831679997,0.051196441950559585,905.7462520599365,0.019718433179723504,135.55511382511855,16.270333841953985,68.33912799490564
full_agentweaver,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,0,11.08182000000002,111.42095359999993,0.1644437831679997,0.051196441950559585,897.5205302450661,0.019718433179723504,135.55511382511855,16.14180693859663,67.7096220067846
gpu_reactive,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,1,257.77408000000025,113.00487912000007,0.0,0.0,1044.7059667110443,0.0,370.77895912,22.11695196611007,70.43816013015564
naive_wafer,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,1,257.77408000000025,113.00487912000007,0.0,3.0189655507041797,1044.7059667110443,0.02426687116564417,389.6199246707041,22.41134205283982,71.006518039765
acd_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,1,12.537220000000026,113.00487912000007,0.15625402777600003,0.07704481742699432,1044.7059667110443,0.02426687116564417,141.59739796520304,18.535990073066365,68.67513666877329
nisp_only,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,1,256.2997000000002,113.00487912000007,0.0009394094079999999,3.0014229210788095,1044.7059667110443,0.02426687116564417,388.12894145048676,22.388045440023923,71.006518039765
acd_nisp,aligned_v10_stratified:ts64:al32:er4:arrclosed_loop:mem64,1,11.062840000000016,113.00487912000007,0.15719343718400003,0.05950218780162353,1044.7059667110443,0.02426687116564417,140.1064147449857,18.512693460250468,68.67513666877329
