instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,branches_pruned,duplicate_patch_rate,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,pabb_online_gain_vs_fcfs,oracle_gap
django__django-11964,pabb_online,2,10,,,,0,0.0,unknown,4,56959,4.611847877502441,18.809168040169556,,
django__django-11964,pabb_online,2,15,,,,0,0.0,unknown,4,128016,6.927844285964966,30.18242526125571,,
django__django-11964,pabb_online,4,5,,,,0,0.0,unknown,4,26018,1.946293592453003,11.607824131786813,,
django__django-11964,pabb_online,4,10,,,,0,0.0,unknown,4,56959,4.611847877502441,18.809168040169556,,
django__django-11964,pabb_online,4,15,,,,0,0.0,unknown,4,128016,6.927844285964966,30.18242526125571,,
django__django-11964,pabb_oracle_upper_bound,1,5,,,,0,0.0,unknown,4,26018,1.946293592453003,11.607824131786813,,
django__django-11964,pabb_oracle_upper_bound,1,10,,,,0,0.0,unknown,4,56959,4.611847877502441,18.809168040169556,,
django__django-11964,pabb_oracle_upper_bound,1,15,,,,0,0.0,unknown,4,128016,6.927844285964966,30.18242526125571,,
django__django-11964,pabb_oracle_upper_bound,2,5,,,,0,0.0,unknown,4,26018,1.946293592453003,11.607824131786813,,
django__django-11964,pabb_oracle_upper_bound,2,10,,,,0,0.0,unknown,4,56959,4.611847877502441,18.809168040169556,,
django__django-11964,pabb_oracle_upper_bound,2,15,,,,0,0.0,unknown,4,128016,6.927844285964966,30.18242526125571,,
django__django-11964,pabb_oracle_upper_bound,4,5,,,,0,0.0,unknown,4,26018,1.946293592453003,11.607824131786813,,
django__django-11964,pabb_oracle_upper_bound,4,10,,,,0,0.0,unknown,4,56959,4.611847877502441,18.809168040169556,,
django__django-11964,pabb_oracle_upper_bound,4,15,,,,0,0.0,unknown,4,128016,6.927844285964966,30.18242526125571,,
django__django-11999,launch_all,1,5,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.6385058530266671
django__django-11999,launch_all,1,10,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.6385058530266671
django__django-11999,launch_all,1,15,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.6385058530266671
django__django-11999,launch_all,2,5,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.47825987963523664
django__django-11999,launch_all,2,10,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.47825987963523664
django__django-11999,launch_all,2,15,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.47825987963523664
django__django-11999,launch_all,4,5,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.05136047474008664
django__django-11999,launch_all,4,10,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.05136047474008664
django__django-11999,launch_all,4,15,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.05136047474008664
django__django-11999,fcfs_budget,1,5,7.3293292684463465,18355,7.3293292684463465,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.3692308993202201
