config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,source_file,comparable_axis,oracle_policy,session_pressure,region_pressure,memory_pressure_bucket,memory_pressure_bucket_id,arrival_closed_loop,arrival_poisson,arrival_bursty,high_domain_locality,high_tool_blocking,high_region_pressure,high_session_pressure,available_policies,missing_policies,best_policy_by_p95,best_policy_by_throughput,best_policy_by_ready_wait,best_policy_by_objective,policy_coverage_count,objective
aligned:ts128:al32:er8:arrpoisson:mem32,128,32,8,poisson,32,taps_unified_v5,0.3147753539446462,63.30458356299612,117.59396226628417,285.1547103162367,3741.221728651769,0.7417618484311549,0.994105151977673,0.14975878384933658,808549310464.0,16559915008.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,mid,2,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_unified_v5,taps_unified_v5,taps_unified_adaptive_v6,taps_unified_v5,7,127.10712543943694
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,acd_nisp,0.11046647527881633,52.04076788138167,111.82235856970152,138.23673040322066,405.44374790830165,0.32291666414932924,0.964908591085941,0.10361544889737563,45308411904.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,121.12584739318969
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,reactive_admission,0.11046647527881633,52.04076788138167,111.82235856970152,138.23673040322066,405.44374790830165,0.32291666414932924,0.964908591085941,0.10361544889737563,45308411904.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,121.12584739318969
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,static_admission,0.10548990759097704,59.0458876411976,116.3041389030297,144.5994495720884,477.7615056431755,0.37391157290210414,0.0,0.09894752323357449,0.0,0.0,0,data/results/taps_unified_pr4_v5.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,127.05841735535945
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,taps_admission_v4,0.11046647527881633,52.04076788138167,111.82235856970152,138.23673040322066,405.44374790830165,0.32291666414932924,0.964908591085941,0.10361544889737563,45308411904.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,121.12584739318969
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,taps_domain_v4,0.11649459610149648,43.75295353427668,96.02533492265019,129.081408277202,273.4517046064486,0.3394223502008114,0.9797623518454536,0.10926971136454607,36961476608.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,103.61097966849056
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,taps_unified_adaptive_v6,0.10414413674198572,44.199348011787635,103.90930179510244,143.6884434892033,280.26846050630104,0.3039674213505584,0.9714837236551548,0.09768521582058531,38262153216.0,5982928896.0,0,data/results/taps_unified_adaptive_pr4_v6.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,111.7077300300401
aligned:ts16:al16:er4:arrbursty:mem32,16,16,4,bursty,32,taps_unified_v5,0.11018852370292478,44.94859380277957,99.37028842530485,136.0386052245997,292.26439179001204,0.32159551435265776,0.9714837236551548,0.1033547356154949,36662427648.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,1.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_domain_v4,taps_domain_v4,taps_domain_v4,7,107.25812194883152
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,acd_nisp,0.11243549969779053,31.118401645372806,102.79209373668652,127.27569647914902,132.39751285198813,0.8810290559991109,0.987216271838243,0.4218494251322018,0.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,107.8914190687832
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,reactive_admission,0.11243549969779053,31.118401645372806,102.79209373668652,127.27569647914902,132.39751285198813,0.8810290559991109,0.987216271838243,0.4218494251322018,0.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,107.8914190687832
