total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error,slo_target,strongest_non_oracle_baseline_p95_policy,strongest_non_oracle_baseline_throughput_policy,strongest_non_oracle_baseline_ready_wait_policy,strongest_baseline_p95,strongest_baseline_throughput,strongest_baseline_ready_wait,p95_gain_over_reactive,p95_gain_over_strongest_baseline,throughput_gain_over_strongest_baseline,ready_wait_gain_over_strongest_baseline,regime_counts,policy_profile_counts,regime_transition_counts,regime_switches,per_regime_policy_decisions
32,16,4,bursty,32,taps_domain_v4,0.10415716389258603,49.03727735390754,40.807136644565,107.7079403189993,227.6314220315975,584.7966082649762,217.5098851601336,0.31974584100661957,0.12032120248940982,0.9807324575167842,71721803776.0,1.0,194,10583121920,0,0,24374,1240655,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_admission_v4,taps_domain_v4,107.7079403189993,0.11665955936126984,584.7966082649762,-0.10644791928820954,-0.23916266363979347,-0.015624578458476932,-0.05543938583143844,,,,,
32,16,4,bursty,32,taps_admission_v4,0.11665955936126984,52.31493055929886,39.9959831372355,119.9085040490954,232.6419846980183,689.4141697082732,185.67269542123444,0.3583698517286958,0.13476383130696792,0.978383104260851,90912489472.0,1.0,264,10583121920,0,0,27346,1237683,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_admission_v4,taps_domain_v4,107.7079403189993,0.11665955936126984,584.7966082649762,-0.10644791928820954,-0.23916266363979347,-0.015624578458476932,-0.05543938583143844,,,,,
32,16,4,bursty,32,taps_unified_v5,0.11317638364577341,52.88854413936012,43.722343092451666,126.30022190399842,240.6907846660778,708.2111761786332,195.5443654579492,0.34727952733849854,0.13074010528652205,0.983395637570364,75851145216.0,1.0,246,10583121920,0,0,21005,1244024,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_admission_v4,taps_domain_v4,107.7079403189993,0.11665955936126984,584.7966082649762,-0.10644791928820954,-0.23916266363979347,-0.015624578458476932,-0.05543938583143844,,,,,
32,16,4,bursty,32,taps_unified_adaptive_v6,0.11483680292309834,50.05392684285032,37.7911372617561,133.46765822084708,242.93492678894944,617.2173730634947,193.1883409041602,0.3526311245332173,0.1326582032513472,0.9795751717944806,77240131584.0,1.0,234,10583121920,0,0,25838,1239191,32,32,0,0.046956610679626476,3.7432076930999756,73.92709851264954,taps_domain_v4,taps_admission_v4,taps_domain_v4,107.7079403189993,0.11665955936126984,584.7966082649762,-0.10644791928820954,-0.23916266363979347,-0.015624578458476932,-0.05543938583143844,"{""ADMISSION_STARVED"": 61, ""BALANCED"": 421, ""DOMAIN_HOT"": 3435, ""TAIL_RISK"": 288}","{""admission_starved"": 61, ""balanced"": 421, ""domain_hot"": 3435, ""tail_risk"": 288}","{""ADMISSION_STARVED->DOMAIN_HOT"": 3, ""BALANCED->DOMAIN_HOT"": 1, ""DOMAIN_HOT->ADMISSION_STARVED"": 3, ""DOMAIN_HOT->TAIL_RISK"": 7, ""TAIL_RISK->DOMAIN_HOT"": 6}",20,"{""ADMISSION_STARVED:admit"": 3, ""ADMISSION_STARVED:admit_score"": 58, ""BALANCED:admit"": 19, ""BALANCED:admit_score"": 392, ""BALANCED:schedule_score"": 10, ""DOMAIN_HOT:admit"": 1381, ""DOMAIN_HOT:admit_score"": 78, ""DOMAIN_HOT:schedule_score"": 1976, ""TAIL_RISK:admit"": 121, ""TAIL_RISK:schedule_score"": 167}"
64,4,4,bursty,32,reactive_admission,0.14460177076215908,27.13134225175411,16.165451032276316,77.04397763505382,177.39682574440235,0.0,423.74207923486415,0.46919865854470866,0.5116113746447487,0.9876024081110993,179087032320.0,1.0,303,16559915008,0,0,36182,2882288,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,taps_domain_v4,reactive_admission,76.95776139636598,0.144679239400338,0.0,0.0011190522781187831,0.0,-0.014066349045265436,0.0,,,,,
64,4,4,bursty,32,acd_nisp,0.14460177076215908,27.13134225175411,16.165451032276316,77.04397763505382,177.39682574440235,0.0,423.74207923486415,0.46919865854470866,0.5116113746447487,0.9876024081110993,179087032320.0,1.0,303,16559915008,0,0,36182,2882288,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,taps_domain_v4,reactive_admission,76.95776139636598,0.144679239400338,0.0,0.0011190522781187831,0.0,-0.014066349045265436,0.0,,,,,
64,4,4,bursty,32,taps_domain_v4,0.144679239400338,27.12178862487411,16.164429592276306,77.04267325975783,177.39159646762798,0.0,423.7933074513965,0.4691044731459658,0.5118854642099155,0.9876024081110993,56800608256.0,1.0,302,16559915008,0,0,36182,2882288,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,taps_domain_v4,reactive_admission,76.95776139636598,0.144679239400338,0.0,0.0011190522781187831,0.0,-0.014066349045265436,0.0,,,,,
64,4,4,bursty,32,taps_admission_v4,0.1425950342562294,27.127108395048925,16.165497050836308,76.96796437057407,177.37137018732273,0.0,422.8719869767785,0.4625363399038549,0.504511397812258,0.9898827125171751,201790840832.0,1.0,492,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,taps_domain_v4,reactive_admission,76.95776139636598,0.144679239400338,0.0,0.0011190522781187831,0.0,-0.014066349045265436,0.0,,,,,
64,4,4,bursty,32,taps_unified_v5,0.14264413071932933,27.115232828968928,16.162124936916342,76.95776139636598,177.36763953864434,0.0,423.0657612512875,0.46227209943598196,0.5046851045991416,0.9898827125171751,49783595008.0,1.0,495,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,taps_domain_v4,reactive_admission,76.95776139636598,0.144679239400338,0.0,0.0011190522781187831,0.0,-0.014066349045265436,0.0,,,,,
64,4,4,bursty,32,taps_unified_adaptive_v6,0.14264413071932933,27.115232828968928,16.162124936916342,76.95776139636598,177.36763953864434,0.0,423.0657612512875,0.46227209943598196,0.5046851045991416,0.9898827125171751,49783595008.0,1.0,495,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,73.92709851264954,taps_unified_v5,taps_domain_v4,reactive_admission,76.95776139636598,0.144679239400338,0.0,0.0011190522781187831,0.0,-0.014066349045265436,0.0,"{""ADMISSION_STARVED"": 4092, ""BALANCED"": 916, ""DOMAIN_HOT"": 1621, ""TAIL_RISK"": 4}","{""admission_starved"": 4092, ""balanced"": 916, ""domain_hot"": 1621, ""tail_risk"": 4}","{""ADMISSION_STARVED->BALANCED"": 28, ""ADMISSION_STARVED->DOMAIN_HOT"": 157, ""ADMISSION_STARVED->TAIL_RISK"": 4, ""BALANCED->ADMISSION_STARVED"": 28, ""BALANCED->DOMAIN_HOT"": 1, ""DOMAIN_HOT->ADMISSION_STARVED"": 161, ""TAIL_RISK->DOMAIN_HOT"": 4}",383,"{""ADMISSION_STARVED:admit"": 2960, ""ADMISSION_STARVED:admit_score"": 784, ""ADMISSION_STARVED:schedule_score"": 348, ""BALANCED:admit"": 306, ""BALANCED:admit_score"": 540, ""BALANCED:schedule_score"": 70, ""DOMAIN_HOT:admit"": 636, ""DOMAIN_HOT:admit_score"": 756, ""DOMAIN_HOT:schedule_score"": 229, ""TAIL_RISK:schedule_score"": 4}"
64,8,4,bursty,32,reactive_admission,0.19765111103165206,30.296631043724368,19.907298761009088,83.39355286710003,182.1800321941109,202.2350517294156,157.4983783445849,0.6415964165135102,0.34965186139140886,0.9863760806175839,206342692864.0,1.0,438,16559915008,0,0,39761,2878709,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,78.5205155305425,0.19765111103165206,196.60785861018954,0.056935812771567056,-0.0015914009646553905,0.0035364278050687434,-0.23627009867510382,,,,,
64,8,4,bursty,32,acd_nisp,0.19765111103165206,30.296631043724368,19.907298761009088,83.39355286710003,182.1800321941109,202.2350517294156,157.4983783445849,0.6415964165135102,0.34965186139140886,0.9863760806175839,206342692864.0,1.0,438,16559915008,0,0,39761,2878709,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,78.5205155305425,0.19765111103165206,196.60785861018954,0.056935812771567056,-0.0015914009646553905,0.0035364278050687434,-0.23627009867510382,,,,,
64,8,4,bursty,32,taps_domain_v4,0.19649951790491596,30.21010249596846,19.054699167599132,81.70707732910941,182.86470241568327,196.60785861018954,160.55838492112719,0.6379268186602953,0.3476146520975819,0.9845175725637063,161410342912.0,1.0,444,16559915008,0,0,45185,2873285,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,78.5205155305425,0.19765111103165206,196.60785861018954,0.056935812771567056,-0.0015914009646553905,0.0035364278050687434,-0.23627009867510382,,,,,
64,8,4,bursty,32,taps_admission_v4,0.19672432145520127,30.943032488116717,20.886779197558127,78.67939025902366,180.47004849767234,244.0358138386343,169.4784739089638,0.6382567021256595,0.34801233759195876,0.9888283929593246,202955497472.0,1.0,602,16559915008,0,0,32604,2885866,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,78.5205155305425,0.19765111103165206,196.60785861018954,0.056935812771567056,-0.0015914009646553905,0.0035364278050687434,-0.23627009867510382,,,,,
64,8,4,bursty,32,taps_unified_v5,0.19518771540204544,31.016682126057745,21.06085071639429,78.5205155305425,186.31597343873676,249.08871937274884,169.5879790842222,0.6330125818984941,0.3452940267061411,0.9893660034196,153198624768.0,1.0,581,16559915008,0,0,31035,2887435,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,78.5205155305425,0.19765111103165206,196.60785861018954,0.056935812771567056,-0.0015914009646553905,0.0035364278050687434,-0.23627009867510382,,,,,
64,8,4,bursty,32,taps_unified_adaptive_v6,0.19835008991640712,30.92260440426095,20.19106410976434,78.64547315470304,185.57002245600364,243.06041676431988,165.71582911934718,0.6432741454701478,0.3508883799561269,0.9893451020568996,153947537408.0,1.0,597,16559915008,0,0,31096,2887374,64,64,0,0.046956610679626476,3.7432076930999756,73.92709851264954,taps_unified_v5,reactive_admission,taps_domain_v4,78.5205155305425,0.19765111103165206,196.60785861018954,0.056935812771567056,-0.0015914009646553905,0.0035364278050687434,-0.23627009867510382,"{""ADMISSION_STARVED"": 3906, ""BALANCED"": 542, ""DOMAIN_HOT"": 2551, ""TAIL_RISK"": 5}","{""admission_starved"": 3906, ""balanced"": 542, ""domain_hot"": 2551, ""tail_risk"": 5}","{""ADMISSION_STARVED->DOMAIN_HOT"": 116, ""ADMISSION_STARVED->TAIL_RISK"": 1, ""BALANCED->DOMAIN_HOT"": 1, ""DOMAIN_HOT->ADMISSION_STARVED"": 116, ""DOMAIN_HOT->TAIL_RISK"": 3, ""TAIL_RISK->ADMISSION_STARVED"": 1, ""TAIL_RISK->DOMAIN_HOT"": 2}",240,"{""ADMISSION_STARVED:admit"": 2717, ""ADMISSION_STARVED:admit_score"": 618, ""ADMISSION_STARVED:schedule_score"": 571, ""BALANCED:admit"": 45, ""BALANCED:admit_score"": 484, ""BALANCED:schedule_score"": 13, ""DOMAIN_HOT:admit"": 1053, ""DOMAIN_HOT:admit_score"": 978, ""DOMAIN_HOT:schedule_score"": 520, ""TAIL_RISK:admit"": 1, ""TAIL_RISK:schedule_score"": 4}"
64,16,1,bursty,32,reactive_admission,0.11423379055701857,106.41602788930831,99.57258633426159,170.78796012414642,257.45291726584014,5345.836885450667,1.2118945121765137,0.9978368858768567,0.10104182388244072,0.9898827125171751,0.0,0.0,393,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,147.81874089417562,0.11423379055701857,4359.236238128355,0.1673359805285367,0.037950205135950404,-0.03142082001306269,-0.03873432195141259,,,,,
64,16,1,bursty,32,acd_nisp,0.11423379055701857,106.41602788930831,99.57258633426159,170.78796012414642,257.45291726584014,5345.836885450667,1.2118945121765137,0.9978368858768567,0.10104182388244072,0.9898827125171751,0.0,0.0,393,16559915008,0,0,29527,2888943,64,64,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,147.81874089417562,0.11423379055701857,4359.236238128355,0.1673359805285367,0.037950205135950404,-0.03142082001306269,-0.03873432195141259,,,,,
64,16,1,bursty,32,taps_domain_v4,0.11388393903837424,91.00039277489718,78.44672942366662,215.49227250760615,294.5004142162645,4359.236238128355,2.9329967498779297,0.994780918389643,0.10073237397834935,0.9898827125171751,0.0,0.0,321,16559915008,0,0,29527,2888943,64,64,18,0.046956610679626476,3.7432076930999756,32.105082321167,taps_unified_v5,reactive_admission,taps_domain_v4,147.81874089417562,0.11423379055701857,4359.236238128355,0.1673359805285367,0.037950205135950404,-0.03142082001306269,-0.03873432195141259,,,,,
