total_sessions,active_session_limit,effective_regions,policy,throughput,mean_jct,p95_jct,p99_jct,region_utilization,ready_queue_empty_time,blocked_session_fraction,completed_sessions,admission_count,eviction_count,admission_throughput_gain,admission_p95_jct_gain,admission_region_util_gain
32,16,2,static_admission,0.07428422895528364,82.32211427374551,137.33033710468862,238.54980724547505,0.3667113818498929,281.96393522209854,0.036866948813394806,32,32,0,0.29491039012786185,0.09178131234805945,0.033806421108325546
32,16,2,reactive_admission,0.09862642920958349,59.57176096327879,132.44558646425395,230.50788485123428,0.41065659268781474,198.52191994307225,0.046829730212155515,32,32,0,0.29491039012786185,0.09178131234805945,0.033806421108325546
32,16,2,taps_admission,0.09619141989683375,63.562503667888606,124.7259785400189,231.37410836762567,0.4005178029582184,206.85593141519757,0.04511538068799773,32,32,0,0.29491039012786185,0.09178131234805945,0.033806421108325546
32,16,4,static_admission,0.08042200318128001,48.685006529032734,111.92786863835653,223.35743770541305,0.19850555314706547,326.6328607829467,0.05265353716645448,32,32,0,0.36417274778698805,0.022336494537481624,0.029896366578877648
32,16,4,reactive_admission,0.11135373143065251,40.22304976814161,107.91806170496524,219.51054081587245,0.23182500014885662,228.08942758702747,0.058702218250549006,32,32,0,0.36417274778698805,0.022336494537481624,0.029896366578877648
32,16,4,taps_admission,0.10970950506234065,42.53177923863489,109.42779241192392,220.811579143489,0.22840191972594312,231.75233872767657,0.054971411829674376,32,32,0,0.36417274778698805,0.022336494537481624,0.029896366578877648
32,16,8,static_admission,0.08417085859228875,32.425750817655434,99.45010997550366,214.74729210476949,0.103879424677244,349.0362307342644,0.05588487907356479,32,32,0,0.41353993088579544,0.007849141449166711,0.019970383124296026
32,16,8,reactive_admission,0.11945485319228255,29.258626184458212,98.30885236888625,213.77743364656425,0.12434527789636138,243.9604179056372,0.06353915281589102,32,32,0,0.41353993088579544,0.007849141449166711,0.019970383124296026
32,16,8,taps_admission,0.1189788696371419,30.14591888433004,98.66951199517075,214.6204243017648,0.12384980780154002,242.64829834206324,0.05634209406014331,32,32,0,0.41353993088579544,0.007849141449166711,0.019970383124296026
32,16,16,static_admission,0.0847470705976494,28.35621900129956,96.93201056658654,213.3585406944429,0.05229527822335961,375.5837614943061,0.05550230881685427,32,32,0,0.43613169143950153,0.012298354639387665,0.01105003148253321
32,16,16,reactive_admission,0.12152536244642159,26.810539029903257,95.73990632472979,212.2629452911782,0.06325027640581703,262.6875041566526,0.06615740800230112,32,32,0,0.43613169143950153,0.012298354639387665,0.01105003148253321
32,16,16,taps_admission,0.12170795384194508,26.810539029903254,95.73990632472979,212.26294529117817,0.06334530970589282,262.06336781423704,0.05730986861435841,32,32,0,0.43613169143950153,0.012298354639387665,0.01105003148253321
32,32,1,static_admission,0.0744377620083628,292.91117061493514,313.64721647658575,393.9029552390785,0.734938625649115,113.94705792303915,0.013913786476532965,32,32,0,0.08222305151226543,0.07147084460573479,-0.06408839554909018
32,32,1,reactive_admission,0.08069020482619824,251.0341735108272,280.74661135531267,361.05583942481496,0.671948986549919,130.09797723297208,0.014541544207456776,32,32,0,0.08222305151226543,0.07147084460573479,-0.06408839554909018
32,32,1,taps_admission,0.08055826194843417,252.57413197588883,291.23058500676643,364.99374356828287,0.6708502301000249,130.74751592259162,0.01533967261595255,32,32,0,0.08222305151226543,0.07147084460573479,-0.06408839554909018
32,32,2,static_admission,0.09719398164123623,151.31502700783983,192.19911980538282,288.419734806346,0.4798076229155735,178.68838531070043,0.02284472791470431,32,32,0,0.05467294287263198,0.04378278134891506,-0.05298968034459367
32,32,2,reactive_admission,0.1025204583398187,130.63990607655373,178.45275629956348,273.5142177666318,0.4268703879885794,185.132997261936,0.01997014122607311,32,32,0,0.05467294287263198,0.04378278134891506,-0.05298968034459367
32,32,2,taps_admission,0.10250786264707118,131.54120445926898,183.78410776748981,275.137023800585,0.4268179425709798,185.01603006899884,0.020238353511633847,32,32,0,0.05467294287263198,0.04378278134891506,-0.05298968034459367
32,32,4,static_admission,0.11614180704418624,81.88697537533282,139.49701167630369,238.9929650511279,0.28667271068637634,201.48669974359356,0.023891294209611003,32,32,0,0.006660767319975382,0.033391803700234785,-0.04326898803978177
32,32,4,reactive_admission,0.1171905094927786,72.19309878651693,132.13524496122807,235.41211609606614,0.24397646609199777,211.21119100950972,0.023008690338452892,32,32,0,0.006660767319975382,0.033391803700234785,-0.04326898803978177
32,32,4,taps_admission,0.11691540059702904,72.70760190698412,134.8389548456392,236.1642488339074,0.24340372264659457,211.80330189538225,0.023158223677628924,32,32,0,0.006660767319975382,0.033391803700234785,-0.04326898803978177
32,32,8,static_admission,0.12171743560731575,48.50197116223403,111.98443908442157,223.28053218678392,0.15021751465460056,227.1217711122578,0.03374310590251459,32,32,0,0.007131264825016661,0.02253216014753442,-0.0226134905554356
32,32,8,reactive_admission,0.12240730630640978,43.65227571988907,108.90804074021466,221.35867841511185,0.1274186030325214,231.55373824416603,0.03341817276422565,32,32,0,0.007131264825016661,0.02253216014753442,-0.0226134905554356
32,32,8,taps_admission,0.12258543487445343,43.835614340837715,109.46118776893957,221.2345144222253,0.12760402409916496,230.9475571058341,0.03365709363512877,32,32,0,0.007131264825016661,0.02253216014753442,-0.0226134905554356
32,32,16,static_admission,0.1251870120700661,32.37608649139856,99.51180289303642,215.30609072382586,0.07724974538927329,240.13944086779685,0.03415108824828109,32,32,0,0.002051311148046673,0.015039134801630114,-0.011960035736654898
32,32,16,reactive_admission,0.1257974466727205,30.089635883196625,97.74196978620105,213.87653190809334,0.06547376706408577,242.34881131026577,0.03442383995868485,32,32,0,0.002051311148046673,0.015039134801630114,-0.011960035736654898
32,32,16,taps_admission,0.12544380958351609,30.17096687519448,98.0152314749748,214.32899049850224,0.06528970965261839,242.75669942988728,0.03437660407234778,32,32,0,0.002051311148046673,0.015039134801630114,-0.011960035736654898
64,4,1,static_admission,0.05423077372398472,48.0872597278624,96.8428847875306,186.0687885217728,0.5759622699526024,500.4246271896896,0.11668634951902712,64,64,0,0.39714888450866054,0.16541191049013934,0.09146698913654339
64,4,1,reactive_admission,0.10962684499494404,34.79591140327927,93.18722947591056,185.5589247869876,0.9656809586580272,20.035408717523524,0.1058774180609014,64,64,0,0.39714888450866054,0.16541191049013934,0.09146698913654339
64,4,1,taps_admission,0.07576846501450683,40.573580501437085,80.8239181974487,192.1675240672061,0.6674292590891457,280.9153836522822,0.14510262025107823,64,64,0,0.39714888450866054,0.16541191049013934,0.09146698913654339
64,4,2,static_admission,0.06897607665163759,30.11103048472286,79.56041315049045,175.18206512980845,0.3662829695451265,639.6379704916111,0.15277893913624468,64,64,0,0.5634379716689789,0.04345195859894396,0.10868672527714407
64,4,2,reactive_admission,0.1615460590757176,24.356001492870487,79.95271191267584,174.71911767946213,0.7115134673576532,180.25972894029735,0.1598751262030288,64,64,0,0.5634379716689789,0.04345195859894396,0.10868672527714407
64,4,2,taps_admission,0.10783981737392029,26.754091560476873,76.10335737216046,172.41009364775988,0.4749696948222706,340.1234661868013,0.1979367328517342,64,64,0,0.5634379716689789,0.04345195859894396,0.10868672527714407
64,4,4,static_admission,0.07448353945272282,24.772865172857255,74.65319016747969,171.99188063592882,0.19776459707010013,800.7782211061633,0.16233228713561926,64,64,0,0.6217731463190013,0.012665392877021949,0.06825104368019974
64,4,4,reactive_admission,0.1712462104565251,22.961085247423547,73.70767818448554,170.7117521881647,0.3771184071926866,371.48226894856293,0.1683676386363766,64,64,0,0.6217731463190013,0.012665392877021949,0.06825104368019974
64,4,4,taps_admission,0.12079540412721775,22.961085247423547,73.70767818448553,170.71175218816472,0.2660156407502999,486.6460888137061,0.2763735763374491,64,64,0,0.6217731463190013,0.012665392877021949,0.06825104368019974
64,4,8,static_admission,0.07448353945272282,24.772865172857255,74.65319016747969,171.99188063592882,0.09888229853505007,859.250251401156,0.16233228713561926,64,64,0,0.6217731463190013,0.012665392877021949,0.03412552184009987
64,4,8,reactive_admission,0.1712462104565251,22.961085247423547,73.70767818448554,170.7117521881647,0.1885592035963433,373.7308979240035,0.1683676386363766,64,64,0,0.6217731463190013,0.012665392877021949,0.03412552184009987
64,4,8,taps_admission,0.12079540412721775,22.961085247423547,73.70767818448553,170.71175218816472,0.13300782037514994,529.8214817229082,0.2763735763374491,64,64,0,0.6217731463190013,0.012665392877021949,0.03412552184009987
64,4,16,static_admission,0.07448353945272282,24.772865172857255,74.65319016747969,171.99188063592882,0.049441149267525034,859.250251401156,0.16233228713561926,64,64,0,0.6217731463190013,0.012665392877021949,0.017062760920049935
64,4,16,reactive_admission,0.1712462104565251,22.961085247423547,73.70767818448554,170.7117521881647,0.09427960179817164,373.7308979240035,0.1683676386363766,64,64,0,0.6217731463190013,0.012665392877021949,0.017062760920049935
64,4,16,taps_admission,0.12079540412721775,22.961085247423547,73.70767818448553,170.71175218816472,0.06650391018757497,529.8214817229082,0.2763735763374491,64,64,0,0.6217731463190013,0.012665392877021949,0.017062760920049935
64,8,1,static_admission,0.061134071234441305,83.54935548861883,129.2605063678242,210.45312777931366,0.6492792933186591,367.1622840482491,0.05788421049508427,64,64,0,0.36247763159919066,0.0241055000011908,0.08443917742750562
64,8,1,reactive_admission,0.11327932893681181,55.39473577165356,121.99951957270699,213.3779950939474,0.9978549594206007,1.2118945121765137,0.05440856960254001,64,64,0,0.36247763159919066,0.0241055000011908,0.08443917742750562
64,8,1,taps_admission,0.0832938045855178,62.59304165199337,126.1446172314207,197.65036347038549,0.7337184707461647,204.60126604912625,0.06382987414979349,64,64,0,0.36247763159919066,0.0241055000011908,0.08443917742750562
64,8,2,static_admission,0.07714117500397033,46.81202273369742,95.31380063138914,186.86815754042357,0.4096420096109324,515.8500996857182,0.07528515473087646,64,64,0,0.6502622388632505,0.056098643684355125,0.15105206803425014
64,8,2,reactive_admission,0.18489255577283717,35.545443692853944,94.0856192434116,185.36453962943995,0.8143407780990165,70.11079530437793,0.0863107918031078,64,64,0,0.6502622388632505,0.056098643684355125,0.15105206803425014
64,8,2,taps_admission,0.1273031681705939,39.29023940018803,89.96682569156718,178.9894721742562,0.5606940776451825,239.30199038981584,0.09326342973745515,64,64,0,0.6502622388632505,0.056098643684355125,0.15105206803425014
64,8,4,static_admission,0.08805654129300866,29.43619213667731,78.62087801679878,175.21482368710554,0.2338028849884615,587.8607492678758,0.08531836433682535,64,64,0,0.9101191012410451,0.03715084009205135,0.1366038134798426
64,8,4,reactive_admission,0.2146408186638291,24.33969122386416,77.00386598331663,173.1005549230344,0.4726820140267414,203.6442092617474,0.1273548600789264,64,64,0,0.9101191012410451,0.03715084009205135,0.1366038134798426
