config_id,w_l,w_r,w_c,w_a,w_s,lambda_s,lambda_n,tau,prefetch_window,memory_budget_bytes,noc_budget_bytes,objective,mean_ratio_vs_acd_nisp,p95_ratio_vs_acd_nisp,mean_gain_vs_acd_nisp,p95_gain_vs_acd_nisp,mean_jct,p95_jct,completed_sessions,expected_sessions,no_starvation,split
29,0.5,1.0,0.5,0.05,0.5,0.1,0,1,5.0,68719476736.0,137438953472.0,1.1547982550743967,0.816206723547665,1.0731775827196302,0.183793276452335,-0.07317758271963015,39.72279486592121,96.02208408510087,48,48,True,train
30,0.5,1.0,1.0,0.01,1.0,0.1,0.5,30,5.0,68719476736.0,137438953472.0,1.139508575674182,0.7611284554288628,1.0633957301312957,0.23887154457113724,-0.06339573013129574,36.68076211696442,95.17978567500276,48,48,True,train
31,0.5,2.0,0,0.01,0,0.5,0.5,10,5.0,68719476736.0,137438953472.0,1.1272294622320136,0.8553396104278811,1.0416955011892255,0.1446603895721189,-0.04169550118922549,41.93118532175544,92.14855240239157,48,48,True,train
32,0.5,2.0,0,0.1,1.0,0,0.5,5,5.0,68719476736.0,137438953472.0,1.1508185249627834,0.826704073124763,1.0681481176503071,0.17329592687523698,-0.06814811765030715,40.292831767850686,95.58853842228115,48,48,True,train
33,0.5,2.0,0.5,0.1,0,0.1,0.5,1,5.0,68719476736.0,137438953472.0,1.115731731259873,0.9630920577419076,1.0194225254856821,0.03690794225809235,-0.01942252548568213,47.47700592839988,90.63903151102429,48,48,True,train
34,0.5,2.0,1.0,0.05,0.5,0.5,0.1,30,5.0,68719476736.0,137438953472.0,1.1605318256412303,0.8108303779169552,1.0794487878495347,0.18916962208304477,-0.07944878784953469,39.42243778255268,96.61184625303427,48,48,True,train
35,1.0,0,0,0.05,0,0,0.1,10,5.0,68719476736.0,137438953472.0,1.1286675515238243,0.9213943628760917,1.0365281152362151,0.07860563712390833,-0.03652811523621513,45.39848794304868,91.97732452171088,48,48,True,train
36,1.0,0,0.5,0.01,0.5,0.1,0.1,5,5.0,68719476736.0,137438953472.0,1.1510723715794327,0.7588980427718597,1.0751825673022466,0.24110195722814032,-0.0751825673022466,36.61952256737366,96.3251358008697,48,48,True,train
37,1.0,0,0.5,0.1,1.0,0.5,0.1,1,5.0,68719476736.0,137438953472.0,1.153596282423982,0.8177252599718019,1.0718237564268018,0.1822747400281981,-0.07182375642680183,39.805934104254746,95.91666924272971,48,48,True,train
38,1.0,0,1.0,0.1,0.5,0,0,30,5.0,68719476736.0,137438953472.0,1.165060355420353,0.8388594447791726,1.0811744109424357,0.16114055522082738,-0.08117441094243572,41.04512435243948,96.4851119802989,48,48,True,train
39,1.0,0.5,0,0.05,1.0,0.1,0,10,5.0,68719476736.0,137438953472.0,1.1646149936843762,0.7937233845462086,1.0852426552297554,0.2062766154537914,-0.08524265522975538,38.45370648494199,97.03960519177403,48,48,True,train
40,1.0,0.5,0.5,0.05,0,0.5,0,5,5.0,68719476736.0,137438953472.0,1.1464346100969307,0.9034141899943575,1.0560931910974949,0.09658581000564248,-0.05609319109749489,44.41526518171611,93.55956219550185,48,48,True,train
41,1.0,0.5,1.0,0.01,1.0,0,0,1,5.0,68719476736.0,137438953472.0,1.149512126482769,0.7607513540414894,1.0734369910786201,0.2392486459585106,-0.07343699107862012,36.66623843735563,96.18856535371461,48,48,True,train
