config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions,replicates,throughput_std,mean_jct_std,p95_jct_std,p99_jct_std,ready_queue_wait_std,completed_sessions_mean,starvation_count_mean,validity,invalid_reason
aligned_v9_stratified:ts128:al4:er1:arrbursty:mem8,128,4,1,bursty,8,reactive_admission,0.09884148714672064,35.88481142082286,25.84088043430131,88.90321518226597,264.03311030684677,1524.2321353148213,0.8650903108140607,0.9937958927927191,0.37620177624340273,0.0,8558477312.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al4:er1:arrbursty:mem8,128,4,1,bursty,8,acd_nisp,0.09884148714672064,35.88481142082286,25.84088043430131,88.90321518226597,264.03311030684677,1524.2321353148213,0.8650903108140607,0.9937958927927191,0.37620177624340273,0.0,8558477312.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al4:er1:arrbursty:mem8,128,4,1,bursty,8,taps_domain_v4,0.0993299598421072,36.47123549441988,24.10259217826416,88.34006683265986,260.69321670421954,1598.4216698202017,0.8700428351712792,0.9898890644375241,0.3780609580602249,0.0,8574132224.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al4:er1:arrbursty:mem8,128,4,1,bursty,8,taps_admission_v4,0.10591396279119061,35.25972025565067,25.41990952197257,92.36012349353882,262.0647223042441,1444.1029186137023,0.9270880018005649,0.9932497393199137,0.40312041108686986,0.0,8589385728.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al4:er1:arrbursty:mem8,128,4,1,bursty,8,taps_unified_v5,0.08077017312745578,39.261963284272085,35.10607450863853,78.89823965040814,135.5083310230214,563.9869702205965,0.7952589640430281,0.9806393501950219,0.2266186259189341,0.0,8470282240.0,97,31,1,0.0,0.0,0.0,0.0,0.0,31.0,97.0,false,incomplete_sessions;starvation
aligned_v9_stratified:ts128:al4:er1:arrbursty:mem8,128,4,1,bursty,8,taps_unified_adaptive_v6,0.0799652607197098,37.799898013225324,33.896544058248324,73.81975717488343,133.7651070828162,518.662946818147,0.787333837938379,0.9806393501950219,0.22436026572524415,0.0,8470282240.0,97,31,1,0.0,0.0,0.0,0.0,0.0,31.0,97.0,false,incomplete_sessions;starvation
aligned_v9_stratified:ts128:al32:er16:arrclosed_loop:mem64,128,32,16,closed_loop,64,reactive_admission,0.2737508137237656,62.10410727877297,51.44609740574671,112.17185292604722,284.50452879372733,2180.0688940686714,0.5106799325396696,0.9874624749460637,0.1302407841887352,1580830031872.0,16559915008.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er16:arrclosed_loop:mem64,128,32,16,closed_loop,64,acd_nisp,0.2737508137237656,62.10410727877297,51.44609740574671,112.17185292604722,284.50452879372733,2180.0688940686714,0.5106799325396696,0.9874624749460637,0.1302407841887352,1580830031872.0,16559915008.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er16:arrclosed_loop:mem64,128,32,16,closed_loop,64,taps_domain_v4,0.28801494549058715,60.81173983824497,42.92568999479309,185.56491547136704,277.0246127793452,2016.0707477428825,0.5370891701710697,0.9886101506749297,0.13702714468137248,1469276454912.0,16559915008.0,5,128,1,0.0,0.0,0.0,0.0,0.0,128.0,5.0,false,starvation
aligned_v9_stratified:ts128:al32:er16:arrclosed_loop:mem64,128,32,16,closed_loop,64,taps_admission_v4,0.3359055087428137,61.010568718246176,49.43830199061155,118.22318069191205,283.7540298477443,2042.5868842088482,0.6262204616144271,0.9908776425233657,0.15981175097483233,1598656905216.0,16559915008.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
