config_id,policy,raw_remote_bytes,policy_remote_bytes,remote_reduction,raw_compute_time,policy_compute_time,compute_reduction,local_memory_bytes,communication_nodes,memory_nodes,delay_nodes,dependency_count,schedule_match_error,ASTRA_SIM_RUN_COMPLETED,CHAKRA_PROTO_EXPORT,per_npu_file_count,schedule_jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,acd_nisp,37685329920.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_acd_nisp_aligned_v10_stratified_ts16_al4_er1_arrclosed_lo_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,acd_nisp_taps_c,37685329920.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_acd_nisp_taps_c_aligned_v10_stratified_ts16_al4_er1_arrclosed_lo_schedule.jsonl
aligned_v10_stratified:ts16:al4:er1:arrclosed_loop:mem8,full_agentweaver,37685329920.0,0.0,1.0,152.10623549043302,124.7166067381888,0.18006907253954713,37685329920,0,150,0,444,0.0,false,NOT_AVAILABLE,1,data/schedules/pr4_v13_full_agentweaver_aligned_v10_stratified_ts16_al4_er1_arrclosed_lo_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,raw,37504008192.0,37504008192.0,0.0,152.10623549043302,152.10623549043302,0.0,0,148,0,0,442,0.0,false,NOT_AVAILABLE,2,data/schedules/pr4_v13_raw_aligned_v10_stratified_ts16_al16_er2_arrbursty_m_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,acd_only,37504008192.0,16126451712.0,0.5700072475069493,152.10623549043302,124.8389807825262,0.1792645424429154,21377556480,67,81,0,442,0.0,false,NOT_AVAILABLE,2,data/schedules/pr4_v13_acd_only_aligned_v10_stratified_ts16_al16_er2_arrbursty_m_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,nisp_only,37504008192.0,932700160.0,0.975130653896376,152.10623549043302,152.10623549043302,0.0,36571308032,148,139,0,581,0.0,false,NOT_AVAILABLE,2,data/schedules/pr4_v13_nisp_only_aligned_v10_stratified_ts16_al16_er2_arrbursty_m_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,acd_nisp,37504008192.0,17835360256.0,0.5244412233302448,152.10623549043302,124.91029067009937,0.17879572610975691,19563307008,76,71,0,441,0.0,false,NOT_AVAILABLE,2,data/schedules/pr4_v13_acd_nisp_aligned_v10_stratified_ts16_al16_er2_arrbursty_m_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,acd_nisp_taps_c,37504008192.0,16126451712.0,0.5700072475069493,152.10623549043302,124.8389807825262,0.1792645424429154,21377556480,67,81,0,442,0.0,false,NOT_AVAILABLE,2,data/schedules/pr4_v13_acd_nisp_taps_c_aligned_v10_stratified_ts16_al16_er2_arrbursty_m_schedule.jsonl
aligned_v10_stratified:ts16:al16:er2:arrbursty:mem16,full_agentweaver,37504008192.0,16126451712.0,0.5700072475069493,152.10623549043302,124.8389807825262,0.1792645424429154,21377556480,67,81,0,442,0.0,false,NOT_AVAILABLE,2,data/schedules/pr4_v13_full_agentweaver_aligned_v10_stratified_ts16_al16_er2_arrbursty_m_schedule.jsonl
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,raw,324956348416.0,324956348416.0,0.0,1349.024254881326,1349.024254881326,0.0,0,1280,0,0,3758,0.0,false,NOT_AVAILABLE,16,data/schedules/pr4_v13_raw_aligned_v10_stratified_ts128_al16_er16_arrbursty_schedule.jsonl
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,acd_only,324956348416.0,179056525312.0,0.4489828366646438,1349.024254881326,1114.61525741126,0.17376188502310286,145899823104,733,547,0,3758,0.0,false,NOT_AVAILABLE,16,data/schedules/pr4_v13_acd_only_aligned_v10_stratified_ts128_al16_er16_arrbursty_schedule.jsonl
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,nisp_only,324956348416.0,13951795200.0,0.9570656327595751,1349.024254881326,1349.024254881326,0.0,311004553216,1280,1175,0,4933,0.0,false,NOT_AVAILABLE,16,data/schedules/pr4_v13_nisp_only_aligned_v10_stratified_ts128_al16_er16_arrbursty_schedule.jsonl
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,acd_nisp,324956348416.0,302579744768.0,0.06886033695625512,1349.024254881326,1115.4693725444831,0.17312874953266777,21111078912,1172,94,0,3744,0.0,false,NOT_AVAILABLE,16,data/schedules/pr4_v13_acd_nisp_aligned_v10_stratified_ts128_al16_er16_arrbursty_schedule.jsonl
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,acd_nisp_taps_c,324956348416.0,179056525312.0,0.4489828366646438,1349.024254881326,1114.61525741126,0.17376188502310286,145899823104,733,547,0,3758,0.0,false,NOT_AVAILABLE,16,data/schedules/pr4_v13_acd_nisp_taps_c_aligned_v10_stratified_ts128_al16_er16_arrbursty_schedule.jsonl
aligned_v10_stratified:ts128:al16:er16:arrbursty:mem64,full_agentweaver,324956348416.0,179056525312.0,0.4489828366646438,1349.024254881326,1114.61525741126,0.17376188502310286,145899823104,733,547,0,3758,0.0,false,NOT_AVAILABLE,16,data/schedules/pr4_v13_full_agentweaver_aligned_v10_stratified_ts128_al16_er16_arrbursty_schedule.jsonl
