run_id,instance_id,branch_id,rollout_id,num_llm_events,num_tool_events,branch_jct,timing_available,branch_jct_variance,branch_jct_mean,branch_jct_std,branch_jct_cv,branch_jct_p50,branch_jct_p95,tool_latency_mean,tool_latency_std,tool_latency_cv,llm_input_tokens_mean,llm_input_tokens_std,llm_input_tokens_cv,llm_output_tokens_mean,llm_output_tokens_std,llm_output_tokens_cv,branch_event_count_mean,branch_event_count_std,branch_event_count_cv,branch_tool_count_mean,branch_tool_count_std,branch_tool_count_cv,branches_have_different_lengths
mini_swe_lite10_r4_timed,django__django-11999,AGGREGATE,,40,40,,true,3.675525878009818,13.537634789943695,1.9171661060038117,0.1416175082096291,14.657869815826416,15.241580963134766,0.3083399713039398,0.3309544607049791,1.0733427109868525,44647.5,25757.01557343164,0.5768971515411084,1060.75,162.75960033128615,0.15343822798141518,20.0,0.0,0.0,10.0,0.0,0.0,false
mini_swe_lite10_r4_timed,django__django-12125,b0,rollout_0,10,10,12.506937742233276,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12125,b1,rollout_1,10,10,19.83637285232544,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12125,b2,rollout_2,10,10,30.50050163269043,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12125,b3,rollout_3,10,10,252.893887758255,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12125,AGGREGATE,,40,40,,true,10128.232611730287,78.93442499637604,100.63912068241797,1.2749712269018039,30.50050163269043,252.893887758255,6.847028112411499,17.907608601950823,2.6153841211035758,32379.0,5676.843004699002,0.17532484031931198,1057.25,380.78561881982887,0.3601661090752697,20.0,0.0,0.0,10.0,0.0,0.0,false
mini_swe_lite10_r4_timed,django__django-12308,b0,rollout_0,9,9,8.90935730934143,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12308,b1,rollout_1,10,10,8.881716966629028,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12308,b2,rollout_2,10,10,41.76118350028992,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12308,b3,rollout_3,10,10,25.112202405929565,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12308,AGGREGATE,,39,39,,true,185.21574911916912,21.166115045547485,13.609399293105083,0.6429805027431316,25.112202405929565,41.76118350028992,1.4415936030839618,2.3703119294948567,1.6442303326153176,36015.25,11432.444235048777,0.31743342709126765,708.25,219.83672918782247,0.31039425229484285,19.5,0.8660254037844386,0.04441155916843275,9.75,0.4330127018922193,0.04441155916843275,true
mini_swe_lite10_r4_timed,django__django-12708,b0,rollout_0,9,9,13.120924711227417,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12708,b1,rollout_1,10,10,11.45497441291809,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12708,b2,rollout_2,9,9,9.550467729568481,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12708,b3,rollout_3,10,10,15.325329065322876,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-12708,AGGREGATE,,38,38,,true,4.5211728937609195,12.362923979759216,2.126304986064069,0.1719904603106264,13.120924711227417,15.325329065322876,0.2720612852196944,0.04790568343070172,0.17608416203730354,36793.0,15940.583803612715,0.43325044991201356,899.5,183.7151327463255,0.20424139271409172,19.0,1.0,0.05263157894736842,9.5,0.5,0.05263157894736842,true
mini_swe_lite10_r4_timed,django__django-13028,b0,rollout_0,10,10,9.414115905761719,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13028,b1,rollout_1,10,10,28.01487970352173,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13028,b2,rollout_2,10,10,27.45812749862671,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13028,b3,rollout_3,9,9,14.809476375579834,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13028,AGGREGATE,,39,39,,true,64.71035675791317,19.924149870872498,8.044274781353081,0.4037449443759286,27.45812749862671,28.01487970352173,0.9404375858795948,1.8947355492018974,2.014738221494778,37442.5,10232.977633611832,0.2732984612034942,1001.75,286.28515068022654,0.28578502688318097,19.5,0.8660254037844386,0.04441155916843275,9.75,0.4330127018922193,0.04441155916843275,true
mini_swe_lite10_r4_timed,django__django-13033,b0,rollout_0,10,10,9.697550773620605,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13033,b1,rollout_1,10,10,7.830129384994507,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13033,b2,rollout_2,10,10,13.726330518722534,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13033,b3,rollout_3,10,10,9.524284601211548,true,,,,,,,,,,,,,,,,,,,,,,
mini_swe_lite10_r4_timed,django__django-13033,AGGREGATE,,40,40,,true,4.6900556026640565,10.194573819637299,2.16565362019508,0.21243199161729445,9.697550773620605,13.726330518722534,0.23978829383850098,0.25548410768806395,1.0654569645511311,50180.75,11185.086463121328,0.22289596036570453,774.25,148.64618225840852,0.19198731967505137,20.0,0.0,0.0,10.0,0.0,0.0,false
