instance_id,branch_id,measured_agent_jct,measured_llm_wall_time,measured_tool_wall_time,measured_orchestration_or_other_time,tool_time_share,llm_time_share,simulated_naive_prefill_time,simulated_full_prefill_time,simulated_decode_time,simulated_context_reuse_savings,simulated_cached_tokens,policy
django__django-11999,b1,15.241580963134766,12.715757131576538,2.355564832687378,0.1702589988708496,0.15454858904629695,0.834280719456367,3.859456294376013,0.7920632792170866,11.437970699653691,3.0673930151589266,70793,naive_vs_full_agentweaver
django__django-11999,b2,13.936033725738525,10.883911371231079,2.9986231327056885,0.05349922180175781,0.2151704847820164,0.7809906021631917,1.1434586032668625,0.34378240579865127,10.277286533187304,0.7996761974682113,20458,naive_vs_full_agentweaver
django__django-11999,b3,14.657869815826416,9.411373376846313,5.192585706710815,0.05391073226928711,0.3542524099309621,0.6420696523504835,1.1013102662891363,0.3355093058742223,8.83968886901089,0.7658009604149141,19626,naive_vs_full_agentweaver
django__django-12125,b0,12.506937742233276,9.837469100952148,2.5471386909484863,0.1223299503326416,0.20365806110534468,0.7865609714944931,1.9099257868368482,0.5678630420039377,8.793766827501152,1.3420627448329105,33100,naive_vs_full_agentweaver
django__django-12125,b1,19.83637285232544,15.977368831634521,3.7021424770355225,0.1568615436553955,0.18663404366295305,0.8054581828331321,1.6567543759075871,0.39883598711423396,14.942708819789567,1.2579183887933532,31590,naive_vs_full_agentweaver
django__django-12125,b2,30.50050163269043,6.386121034622192,23.967426538467407,0.14695405960083008,0.7858043394531953,0.2093775739011961,1.465932131233636,0.4072646059111918,5.605656965316029,1.0586675253224442,26691,naive_vs_full_agentweaver
django__django-12125,b3,252.893887758255,9.126798868179321,243.66441679000854,0.10267210006713867,0.9635045708298453,0.036089440314602476,1.269172128907832,0.36128225665266156,8.44770137467477,0.9078898722551704,23112,naive_vs_full_agentweaver
django__django-12308,b0,8.90935730934143,6.2355804443359375,2.349590301513672,0.3241865634918213,0.2637216378166958,0.6998911624969798,1.2600758983481506,0.4315758625780739,5.532569508432166,0.8285000357700767,20856,naive_vs_full_agentweaver
django__django-12308,b1,8.881716966629028,6.225882291793823,2.482619524002075,0.17321515083312988,0.2795202248990749,0.7009773352591755,2.0984597324518677,0.5760779146342143,5.238679817517231,1.5223818178176534,37181,naive_vs_full_agentweaver
django__django-12308,b2,41.76118350028992,10.57302188873291,31.018104076385498,0.1700575351715088,0.7427496415701476,0.2531782148525439,1.241795759045721,0.3893905707046126,9.686729665604494,0.8524051883411083,21640,naive_vs_full_agentweaver
django__django-12308,b3,25.112202405929565,5.910865783691406,18.930243015289307,0.27109360694885254,0.7538264748463258,0.23537823119392012,2.3442098802709546,0.620456701105786,4.856899837523991,1.7237531791651686,41464,naive_vs_full_agentweaver
django__django-12708,b0,13.120924711227417,8.331981658935547,2.302528142929077,2.486414909362793,0.1754852034901802,0.635014821158601,1.1212850749548569,0.4240680658757653,7.58166910125478,0.6972170090790916,17687,naive_vs_full_agentweaver
