row_type,policy,event_id,actual_tool_class,actual_safe,predicted_top3,launched,tool_latency,tool_latency_hidden,wasted_speculative_work,speculation_hit,safety_violation,simulated_tool_jct,events,mean_jct,p95_jct,mean_jct_gain,p95_jct_gain,speculation_hit_rate,safe_coverage,cost_overhead,safety_violations,stp_gain
event,stp_oracle_upper_bound,django__django-11815:b2:tool8,file_read,true,"[""list_find"", ""shell_other"", ""file_read""]","[""file_read""]",0.17634844779968262,0.17634844779968262,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11815:b3:tool7,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]",[],0.1849970817565918,0.0,0,false,0,0.1849970817565918,,,,,,,,,,
event,stp_top1,django__django-11815:b3:tool7,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.1849970817565918,0.1849970817565918,0.0,true,0,0.0,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b3:tool7,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.1849970817565918,0.1849970817565918,0.0,true,0,0.0,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b3:tool7,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.1849970817565918,0.1849970817565918,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11815:b3:tool8,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]",[],0.3108186721801758,0.0,0,false,0,0.3108186721801758,,,,,,,,,,
event,stp_top1,django__django-11815:b3:tool8,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.3108186721801758,0.3108186721801758,0.0,true,0,0.0,,,,,,,,,,
event,stp_top3_budgeted,django__django-11815:b3:tool8,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.3108186721801758,0.3108186721801758,0.0,true,0,0.0,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11815:b3:tool8,grep_search,true,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.3108186721801758,0.3108186721801758,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11848:b0:tool5,shell_other,false,"[""grep_search"", ""shell_other"", ""list_find""]",[],0.26338672637939453,0.0,0,false,0,0.26338672637939453,,,,,,,,,,
