objective,policy_a,policy_b,train_pairs,median_abs_error,p95_abs_error,split_type
balanced,taps_domain_v4,taps_admission_v4,139,0.05147929923224523,0.2087147467969812,leave_arrival_closed_loop
p95_opt,taps_domain_v4,taps_unified_v5,95,4.158928054978084,25.512180856797972,leave_arrival_closed_loop
throughput_opt,taps_domain_v4,taps_unified_v5,95,0.013253063534097921,0.026888676358114143,leave_arrival_closed_loop
balanced,taps_domain_v4,taps_unified_v5,95,0.0513271407318382,0.22102656991875322,leave_arrival_closed_loop
p95_opt,taps_domain_v4,taps_unified_adaptive_v6,96,5.051043458252481,23.19686787894767,leave_arrival_closed_loop
throughput_opt,taps_domain_v4,taps_unified_adaptive_v6,96,0.013354299420366523,0.02776797755825737,leave_arrival_closed_loop
balanced,taps_domain_v4,taps_unified_adaptive_v6,96,0.05771446746607391,0.22005919224165504,leave_arrival_closed_loop
p95_opt,taps_admission_v4,taps_unified_v5,120,3.4808369473615155,13.476491425861512,leave_arrival_closed_loop
throughput_opt,taps_admission_v4,taps_unified_v5,120,0.0008648857296594379,0.005995798004396106,leave_arrival_closed_loop
balanced,taps_admission_v4,taps_unified_v5,120,0.034302677921653375,0.14721796319742822,leave_arrival_closed_loop
p95_opt,taps_admission_v4,taps_unified_adaptive_v6,124,1.7044285911495312,13.71019378646279,leave_arrival_closed_loop
throughput_opt,taps_admission_v4,taps_unified_adaptive_v6,124,0.0012073997581863042,0.007467001267905956,leave_arrival_closed_loop
balanced,taps_admission_v4,taps_unified_adaptive_v6,124,0.019128983082966934,0.15247549305710978,leave_arrival_closed_loop
p95_opt,taps_unified_v5,taps_unified_adaptive_v6,119,2.3277536888392714,11.524759412589622,leave_arrival_closed_loop
throughput_opt,taps_unified_v5,taps_unified_adaptive_v6,119,0.0005899556692896357,0.004519692388792847,leave_arrival_closed_loop
balanced,taps_unified_v5,taps_unified_adaptive_v6,119,0.027517835131804745,0.11575387944433754,leave_arrival_closed_loop
p95_opt,reactive_admission,acd_nisp,211,1.0,0.0,leave_arrival_poisson
throughput_opt,reactive_admission,acd_nisp,211,1.0,0.0,leave_arrival_poisson
balanced,reactive_admission,acd_nisp,211,1.0,0.0,leave_arrival_poisson
p95_opt,reactive_admission,taps_domain_v4,131,3.686252732335575,18.49855076997752,leave_arrival_poisson
throughput_opt,reactive_admission,taps_domain_v4,131,0.000708314839353949,0.008152272049509298,leave_arrival_poisson
balanced,reactive_admission,taps_domain_v4,131,0.03775420863761555,0.18650314637004806,leave_arrival_poisson
