instance_id,budget_policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,duplicate_patch_rate,branches_pruned,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,selected_branches,patch_nonempty_selected
django__django-11848,launch_all,4,5,,,,0.0,0,unknown,5,87023,9.043579618136087,19.17607213835384,5,0
django__django-11848,launch_all,4,10,,,,0.0,0,unknown,5,170013,17.558863004048664,36.94424543093254,5,0
django__django-11848,launch_all,4,15,,,,0.0,0,unknown,5,184972,18.68583917617798,41.71934822920257,5,0
django__django-11848,fcfs_budget,1,5,,,,0.0,4,unknown,1,20334,1.5409384965896606,3.630660497049539,1,0
django__django-11848,fcfs_budget,1,10,,,,0.0,4,unknown,1,40669,3.0818769931793213,7.261320994099078,1,0
django__django-11848,fcfs_budget,1,15,,,,0.0,4,unknown,1,40669,3.0818769931793213,7.261320994099078,1,0
django__django-11848,fcfs_budget,2,5,,,,0.0,3,unknown,2,38870,5.258873701095581,7.371205447301488,2,0
django__django-11848,fcfs_budget,2,10,,,,0.0,3,unknown,2,77742,10.517747402191162,14.742410894602976,2,0
django__django-11848,fcfs_budget,2,15,,,,0.0,3,unknown,2,77742,10.517747402191162,14.742410894602976,2,0
django__django-11848,fcfs_budget,4,5,,,,0.0,1,unknown,4,72064,7.916603446006775,14.40096934008381,4,0
django__django-11848,fcfs_budget,4,10,,,,0.0,1,unknown,4,140095,15.304910659790039,27.39403983439248,4,0
django__django-11848,fcfs_budget,4,15,,,,0.0,1,unknown,4,140095,15.304910659790039,27.39403983439248,4,0
django__django-11848,pabb_budget,1,5,,,,0.0,4,unknown,1,18536,3.7179352045059204,3.740544950251949,1,0
django__django-11848,pabb_budget,1,10,,,,0.0,4,unknown,1,37073,7.435870409011841,7.481089900503898,1,0
django__django-11848,pabb_budget,1,15,,,,0.0,4,unknown,1,37073,7.435870409011841,7.481089900503898,1,0
django__django-11848,pabb_budget,2,5,,,,0.0,3,unknown,2,28628,5.038675785064697,7.260292064689802,2,0
django__django-11848,pabb_budget,2,10,,,,0.0,3,unknown,2,53221,9.549055337905884,13.112685283604463,2,0
django__django-11848,pabb_budget,2,15,,,,0.0,3,unknown,2,53221,9.549055337905884,13.112685283604463,2,0
django__django-11848,pabb_budget,4,5,,,,0.0,1,unknown,4,72064,7.916603446006775,14.40096934008381,4,0
django__django-11848,pabb_budget,4,10,,,,0.0,1,unknown,4,140095,15.304910659790039,27.39403983439248,4,0
django__django-11848,pabb_budget,4,15,,,,0.0,1,unknown,4,138767,16.011860847473145,34.69931467251364,4,0
django__django-11964,launch_all,1,5,,,,0.0,0,unknown,5,168835,13.369603633880615,26.291882130556434,5,0
django__django-11964,launch_all,1,10,,,,0.0,0,unknown,5,337673,26.73920726776123,52.58376426111287,5,0
django__django-11964,launch_all,1,15,,,,0.0,0,unknown,5,393865,27.66095995903015,58.94675550369012,5,0
django__django-11964,launch_all,2,5,,,,0.0,0,unknown,5,168835,13.369603633880615,26.291882130556434,5,0
django__django-11964,launch_all,2,10,,,,0.0,0,unknown,5,337673,26.73920726776123,52.58376426111287,5,0
django__django-11964,launch_all,2,15,,,,0.0,0,unknown,5,393865,27.66095995903015,58.94675550369012,5,0
django__django-11964,launch_all,4,5,,,,0.0,0,unknown,5,168835,13.369603633880615,26.291882130556434,5,0
django__django-11964,launch_all,4,10,,,,0.0,0,unknown,5,337673,26.73920726776123,52.58376426111287,5,0
django__django-11964,launch_all,4,15,,,,0.0,0,unknown,5,393865,27.66095995903015,58.94675550369012,5,0
django__django-11964,fcfs_budget,1,5,,,,0.0,4,unknown,1,16599,1.197910189628601,4.511764948726136,1,0
django__django-11964,fcfs_budget,1,10,,,,0.0,4,unknown,1,33199,2.395820379257202,9.023529897452272,1,0
django__django-11964,fcfs_budget,1,15,,,,0.0,4,unknown,1,33199,2.395820379257202,9.023529897452272,1,0
django__django-11964,fcfs_budget,2,5,,,,0.0,3,unknown,2,33034,9.952546954154968,8.994426254022198,2,0
django__django-11964,fcfs_budget,2,10,,,,0.0,3,unknown,2,66070,19.905093908309937,17.988852508044396,2,0
django__django-11964,fcfs_budget,2,15,,,,0.0,3,unknown,2,66070,19.905093908309937,17.988852508044396,2,0
django__django-11964,fcfs_budget,4,5,,,,0.0,1,unknown,4,112644,12.447850942611694,19.928890887979183,4,0
django__django-11964,fcfs_budget,4,10,,,,0.0,1,unknown,4,225290,24.89570188522339,39.857781775958365,4,0
django__django-11964,fcfs_budget,4,15,,,,0.0,1,unknown,4,225290,24.89570188522339,39.857781775958365,4,0
django__django-11964,pabb_budget,1,5,,,,0.0,4,unknown,1,16435,8.754636764526367,4.4826613052960615,1,0
django__django-11964,pabb_budget,1,10,,,,0.0,4,unknown,1,32871,17.509273529052734,8.965322610592123,1,0
django__django-11964,pabb_budget,1,15,,,,0.0,4,unknown,1,32871,17.509273529052734,8.965322610592123,1,0
django__django-11964,pabb_budget,2,5,,,,0.0,3,unknown,2,33034,9.952546954154968,8.994426254022198,2,0
django__django-11964,pabb_budget,2,10,,,,0.0,3,unknown,2,66070,19.905093908309937,17.988852508044396,2,0
django__django-11964,pabb_budget,2,15,,,,0.0,3,unknown,2,66070,19.905093908309937,17.988852508044396,2,0
django__django-11964,pabb_budget,4,5,,,,0.0,1,unknown,4,112644,12.447850942611694,19.928890887979183,4,0
django__django-11964,pabb_budget,4,10,,,,0.0,1,unknown,4,225290,24.89570188522339,39.857781775958365,4,0
django__django-11964,pabb_budget,4,15,,,,0.0,1,unknown,4,225290,24.89570188522339,39.857781775958365,4,0
django__django-11999,launch_all,1,5,,,,0.0,0,unknown,4,91415,6.166799426078796,23.305093349257035,4,1
django__django-11999,launch_all,1,10,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,launch_all,1,15,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,launch_all,2,5,,,,0.0,0,unknown,4,91415,6.166799426078796,23.305093349257035,4,1
django__django-11999,launch_all,2,10,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,launch_all,2,15,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,launch_all,4,5,,,,0.0,0,unknown,4,91415,6.166799426078796,23.305093349257035,4,1
django__django-11999,launch_all,4,10,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,launch_all,4,15,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,fcfs_budget,1,5,,,,0.0,3,unknown,1,26624,0.8934125900268555,4.975507716365085,1,0
