trial,split,objective,feasible,w_tail,w_domain,w_batch,w_resume,w_age,w_short,w_remote,w_switch,w_mem,ready_depth_factor,memory_pressure_threshold,admission_domain,admission_llm,admission_stall,admission_tail,admission_tool_penalty,admission_mem,slo_target,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error
20,train,99.27771449447417,True,1.0,2,0,0,0.01,0.5,0,0.5,0.1,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2686490844251023,50.10877366371834,46.7163303648705,89.282824670173,167.0529791526177,1563.701162941909,25.697622197609967,0.9381150690919596,0.196584893774115,0.9947290712704813,201303072768.0,1.0,430,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
21,train,114.59963267467955,True,4.0,0,0.5,0.5,0.01,0.5,0,0.5,0.1,4,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26762495100255024,50.681366339253174,48.63632740749845,104.49012190192917,165.60777533167368,1600.3565504884582,26.793645124022042,0.9345289381770292,0.1958354806111641,0.9947290712704813,199411810304.0,1.0,505,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
22,train,106.87501201109976,True,1.0,0,0,0,0.01,0,0,0.1,0,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26521238409238146,50.90878769128977,45.46686055515946,96.71977571125105,149.824634179652,1614.9321660197625,30.348821148783564,0.9260830192260807,0.19407007645661986,0.9947290712704813,195282010112.0,1.0,373,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
23,train,100.58736665259,True,4.0,0.5,0,1,0.01,0,0.5,0,0,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26546280314814136,50.47847653812872,44.74925472914011,90.51821762527908,163.15493248695373,1587.5443201905732,27.14243529062656,0.9267997570722442,0.19425332146406535,0.9947290712704813,164868415488.0,1.0,556,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
24,train,118.79939258149976,True,0.5,2,1,0,0.05,0.5,0.5,0.1,0.5,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26621485491963087,50.13971333859043,46.33631090325311,108.79807139927364,174.5013141379327,1565.8453572966046,30.75633913603047,0.9294442066664889,0.19480363794077046,0.9947290712704813,168492040192.0,1.0,520,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
25,train,116.50973140918126,True,0.5,2,0.5,0.5,0.01,0.5,0,0.1,0.5,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2667714486054215,50.69999437220192,47.355265280022365,106.39640967960142,173.93055035916888,1601.5222321722185,30.8651283890027,0.9315761912292779,0.19521092728936665,0.9947290712704813,204714295296.0,1.0,521,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
26,train,115.87073414460681,True,2.0,1,1,0,0.01,0.5,0.1,0,0.5,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26787985769030653,50.12043479183847,47.07518109554208,105.87343517200816,167.9106947632282,1564.5206721771171,27.84552728016478,0.935352357110702,0.1960220094587944,0.9947290712704813,186663665664.0,1.0,544,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
27,train,113.81920531526353,True,0.5,2,0.5,0,0.05,1,0,0,0,1,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.25985861146356454,46.74448244983485,44.403189683810744,104.49629468644291,167.87328926826345,1348.4041516520838,37.09743075746203,0.907401091945156,0.19015243487679126,0.9947290712704813,197777793024.0,1.0,536,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
28,train,113.84884652500271,True,4.0,0.5,1,0,0.1,1,0.1,0,0.1,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2647988336565124,50.19391327961847,46.718245988660364,103.83654375244467,164.0409948857519,1569.21832940464,32.14546716183994,0.9245995252041093,0.19376745949933719,0.9947290712704813,187656863744.0,1.0,537,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
29,train,115.44137081628692,True,2.0,2,1,0.5,0.1,0.5,0.5,0.1,0,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26887970496050734,50.83760813336742,46.781214973259246,105.30073716010948,165.29216650254978,1610.4909720868118,25.097736855110206,0.9387687213330386,0.19675365114602897,0.9947290712704813,172422455296.0,1.0,535,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
30,train,114.57327741406512,True,1.0,0,1,0,0.01,1,0.1,0.5,0.1,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26631789216768625,50.91103040924267,48.863438725697755,104.41770312143335,174.42258991224327,1615.0580681223482,30.697080151863638,0.9299616349018263,0.19487903580228566,0.9947290712704813,198808379392.0,1.0,498,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
31,train,113.3705089058159,True,0.5,0.5,1,0.5,0.1,1,0,0.1,0.5,1,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2580093216668018,46.7628913410796,44.20660634697874,104.04373156976665,171.05721361329802,1349.5697359775108,39.049628694218306,0.9009562346543911,0.18879921069204442,0.9947290712704813,200294735872.0,1.0,522,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
32,train,100.43411086208809,True,0.5,1,0,0.5,0.01,0.5,0.1,0.1,0.1,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.268275693995054,49.971912661106224,45.842295236241355,90.46655589926634,167.15325410979506,1554.9834978428953,30.044401680069477,0.9367677740297691,0.1963116640395548,0.9947290712704813,193015259136.0,1.0,520,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
33,train,115.44120212089203,True,0.5,2,0.5,0.5,0.05,1,0.5,0,0,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26061447148751454,50.21712620251052,46.38389446803802,105.42383832753868,173.09171345039897,1570.7821911756503,36.43507073928381,0.9099093201912778,0.19070553805536405,0.9947290712704813,172009922560.0,1.0,554,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
34,train,103.83592564941223,True,0.5,1,0,0.5,0.05,1,0.1,0,0.5,2,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26232372232840495,49.715026586720214,46.03597642828399,93.91915270430103,164.28717110905507,1538.5116277791496,35.88222673430186,0.9160165503853975,0.19195628825132624,0.9947290712704813,199247519744.0,1.0,545,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
35,train,110.48466057960225,True,4.0,2,0,0,0.05,1,0,0,0.1,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2637060734811148,50.02039947375276,45.95571376602671,100.5069512921998,163.167818150948,1558.0450350106712,32.55370781286583,0.9208543986772577,0.19296782847338056,0.9947290712704813,201339027456.0,1.0,540,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
36,train,115.56275593366169,True,2.0,2,1,0,0.01,1,0,0.1,0.5,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26503805669964137,50.559638864473875,47.14922861481276,105.47733196643688,166.88262334028997,1592.6040627841844,30.20418991628275,0.9254562566085082,0.19394251178593794,0.9947290712704813,191797673984.0,1.0,527,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
37,train,116.98390732447895,True,0.5,2,0.5,1,0.05,1,0.1,0.1,0.1,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26423174145084716,50.02388357923597,46.39790695445164,107.00555378277683,173.12497625963232,1558.3195198415983,30.518898286346165,0.9226368587136677,0.19335248782262576,0.9947290712704813,191038611456.0,1.0,531,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
38,train,116.68575208614345,True,0.5,1,0.5,0,0.01,0,0.5,0.5,0.1,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2607648615883958,50.7000923855973,46.62527123630544,106.57181009518284,173.16847794487055,1601.7279213700028,30.64857685228943,0.9103978295918176,0.1908155865301977,0.9947290712704813,164831027200.0,1.0,434,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
39,train,106.7710195502563,True,0.5,0.5,0,0.5,0.05,0,0.5,0,0,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2593414968252156,50.52871860472419,44.93898436881048,96.69120997899398,156.91823029036934,1590.942159204683,34.14884868045356,0.9052439561885192,0.18977403445727584,0.9947290712704813,128399065088.0,1.0,563,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
40,train,120.21115661888463,True,0.5,0.5,1,1,0.05,0,0.5,0.5,0.5,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.25894583555345435,50.915605561580456,44.413595765984034,110.05393009012388,172.46465902183047,1615.5333232556436,36.560010363568175,0.9040344343252293,0.1894845079575069,0.9947290712704813,162319302656.0,1.0,465,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
41,train,108.08580264442425,True,2.0,2,0,0,0.05,0,0.5,0.5,0.1,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2689565561168768,50.993786546955285,45.52022100250274,97.91394099064487,159.44261729393023,1620.492757747474,25.727718402227588,0.9390303506217317,0.19680988724466905,0.9947290712704813,171149017088.0,1.0,394,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
42,train,114.29320064744859,True,4.0,2,0.5,0,0.05,1,0,0.5,0,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26552494341119115,50.14602311677028,46.58723314367806,104.29054851843564,164.19038465318823,1566.0755873292337,30.408110308805355,0.9272155518651916,0.19429879281579865,0.9947290712704813,203211194368.0,1.0,484,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
43,train,107.4800209802002,True,2.0,1,0,0.5,0.1,0,0.1,0,0,2,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2663763164095083,50.55925606873223,44.24542501716675,97.3948073980947,153.06428312524113,1592.682428384077,27.721805874327963,0.9300221396531823,0.19492178794267362,0.9947290712704813,171224768512.0,1.0,552,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
44,train,111.5708750064651,True,1.0,1,0.5,0,0.01,0,0,0.1,0.1,1,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2689110538876664,46.81286926943393,42.4225672527504,102.23519225796709,164.77826212704656,1352.736207598266,24.302208258526143,0.9390582986686047,0.19677659083156238,0.9947290712704813,206717894656.0,1.0,424,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
45,train,107.42016530161557,True,0.5,0.5,0.5,0.5,0.05,0.5,0.1,0.5,0.1,1,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2688634600567464,46.36434275419505,43.852181679351844,98.17418309678223,167.64327049340474,1324.11839374362,24.674261631316732,0.9387997982501721,0.1967417638816928,0.9947290712704813,189141270528.0,1.0,453,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
46,train,116.27543949838919,True,0.5,2,0.5,0,0.05,0,0.1,0,0.5,4,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2626104630157527,51.42034184956247,44.26893029519201,106.01763217477827,168.7870489214412,1647.8996410682541,29.773310982429784,0.9167635931821414,0.19216611173791526,0.9947290712704813,149680226304.0,1.0,556,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
47,train,112.43105416958454,True,4.0,2,1,0.5,0.01,0.5,0,0,0.1,1,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26916876220261626,46.35072568023501,43.39622523410989,103.18782590975779,164.38261758764014,1323.2103169717764,28.972442200271182,0.9399042982007608,0.19696516977955145,0.9947290712704813,196458078208.0,1.0,568,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
48,train,106.59179841040742,True,4.0,0,0,0,0.1,0,0,0.1,0,2,0.95,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26484044764275705,50.87547143389684,44.90230457192715,96.44318816839233,148.65426914725793,1612.7787366518937,31.406521114579554,0.9248061919243,0.1937979106772478,0.9947290712704813,199519789056.0,1.0,455,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
49,train,112.00897073947857,True,0.5,0.5,1,1,0.05,0.5,0.5,0,0.5,1,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.25888160526531134,47.03124969542402,42.50121619577576,102.6286089609203,171.8495252513221,1366.8494992149122,35.68606556877776,0.903896198802146,0.18943750722270558,0.9947290712704813,179329024000.0,1.0,547,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
50,train,114.48070589936802,True,0.5,1,0.5,0.5,0.05,0.5,0.1,0.1,0.1,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2654192686257185,50.74150873198441,47.341590612853395,104.35894607983371,170.53731421451647,1604.2076239278983,31.063413468140702,0.9268248062139945,0.19422146492718417,0.9947290712704813,199019749376.0,1.0,515,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
51,train,116.72819695345936,True,1.0,0,1,0.5,0.05,0,0.1,0.1,0.5,4,0.7,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.26440169060571256,50.933054232588034,45.575482319582434,106.56802627600233,167.49701452406669,1616.606498621251,28.801083170795458,0.923126941580495,0.1934768487026479,0.9947290712704813,171027218432.0,1.0,484,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
52,train,114.85654287767497,True,4.0,2,1,1,0.01,0.5,0.5,0.5,0.1,4,0.85,1.0,0.5,1.0,1.0,0.5,0.5,40.04390735626222,64,16,4,bursty,32,taps_unified,0.2698923869970712,50.59572244051967,47.49968562091496,104.76438762827074,166.6060852666732,1594.9070008786366,23.283567926103892,0.942413299326317,0.1974946847178011,0.9947290712704813,193079828480.0,1.0,516,7345307648,0,0,14794,2791922,64,64,0,0.05547451972961426,3.5863175630569444
