run_id,mesh,mesh_rows,mesh_cols,effective_regions,branch_fanout,policy,jct,branch_wait_time,region_utilization,blocked_compute_time_avoided,time_to_first_success,branch_wasted_tokens,acd_bes_gain_vs_acd_only,full_gain_vs_acd_nisp
bes_stress_pr3_v3,6x6,6,6,1,4.0,acd_bes,72.3944919690274,492.2386694831591,0.708739079712716,637.7253286838531,72.3944919690274,0,-0.03013667688124975,-0.0264127080483619
bes_stress_pr3_v3,6x6,6,6,1,4.0,acd_nisp,69.75741974516711,694.8126689511846,0.7525908265586149,637.7253286838531,69.75741974516711,0,-0.03013667688124975,-0.0264127080483619
bes_stress_pr3_v3,6x6,6,6,1,4.0,full_agentweaver,71.59990210710325,481.7931475945289,0.704852475470232,637.7253286838531,71.59990210710325,0,-0.03013667688124975,-0.0264127080483619
bes_stress_pr3_v3,6x6,6,6,2,4.0,acd_only,58.22325584405117,159.03906630202394,0.6317049717981422,637.7253286838531,58.22325584405117,0,-0.011154167856175694,-0.0035556499957508886
bes_stress_pr3_v3,6x6,6,6,2,4.0,acd_bes,58.872687812868776,148.50995272401946,0.6213340226915094,637.7253286838531,58.872687812868776,0,-0.011154167856175694,-0.0035556499957508886
bes_stress_pr3_v3,6x6,6,6,2,4.0,acd_nisp,57.99114357319142,154.66774176575356,0.6233612683092102,637.7253286838531,57.99114357319142,0,-0.011154167856175694,-0.0035556499957508886
bes_stress_pr3_v3,6x6,6,6,2,4.0,full_agentweaver,58.19733978259103,140.19697248595125,0.6208556282740998,637.7253286838531,58.19733978259103,0,-0.011154167856175694,-0.0035556499957508886
bes_stress_pr3_v3,6x6,6,6,4,4.0,acd_only,54.944625992116116,0.0,0.45650591529539264,637.7253286838531,54.944625992116116,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,4,4.0,acd_bes,54.944625992116116,0.0,0.45650591529539264,637.7253286838531,54.944625992116116,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,4,4.0,acd_nisp,54.7885158685315,0.0,0.45034525911966455,637.7253286838531,54.7885158685315,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,4,4.0,full_agentweaver,54.7885158685315,0.0,0.45034525911966455,637.7253286838531,54.7885158685315,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,8,4.0,acd_only,54.94460924211611,0.0,0.27010103599556445,637.7253286838531,54.94460924211611,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,8,4.0,acd_bes,54.94460924211611,0.0,0.27010103599556445,637.7253286838531,54.94460924211611,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,8,4.0,acd_nisp,54.7885031185315,0.0,0.26720593010597843,637.7253286838531,54.7885031185315,0,0.0,0.0
bes_stress_pr3_v3,6x6,6,6,8,4.0,full_agentweaver,54.7885031185315,0.0,0.26720593010597843,637.7253286838531,54.7885031185315,0,0.0,0.0
