mode,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error
prefix,4096,4109,512,520,8,128,1,1.552621841430664,1.4844216704368591,True,28672,8,0,ok,,37264.0,37248.0,149080.0,37248.0,3216.0,0.0,0.0,0.0,184.0003490447998,184.2555923461914,161.89766025543213,129.26833534240723,168.07793426513672,313.57111835479736,
prefix,4096,4109,512,520,8,128,2,1.5399792194366455,1.479865401983261,True,28672,8,0,ok,,37264.0,37248.0,149080.0,37248.0,3216.0,0.0,0.0,0.0,184.00032997131348,184.26074314117432,161.9003930091858,129.242418050766,168.07795596122742,313.5325632095337,
prefix,4096,4109,1024,1032,2,128,0,1.2848384380340576,1.2712197303771973,True,4096,2,0,ok,,10340.0,10336.0,41364.0,10336.0,804.0,0.0,0.0,0.0,46.00001335144043,46.03118348121643,40.34458303451538,36.14527654647827,42.01846146583557,77.48306274414062,
prefix,4096,4109,1024,1032,2,128,1,1.3093740940093994,1.290811538696289,True,4096,2,0,ok,,10340.0,10336.0,41364.0,10336.0,804.0,0.0,0.0,0.0,46.000012159347534,46.030574798583984,40.36649131774902,35.1557559967041,42.01863360404968,77.57910346984863,
prefix,4096,4109,1024,1032,2,128,2,1.3147947788238525,1.2967873811721802,True,4096,2,0,ok,,10340.0,10336.0,41364.0,10336.0,804.0,0.0,0.0,0.0,46.00001096725464,46.0302255153656,40.37823152542114,35.15833353996277,42.01872634887695,77.62196350097656,
prefix,4096,4109,1024,1032,4,128,0,1.3271441459655762,1.3034863471984863,True,12288,4,0,ok,,20680.0,20672.0,82728.0,20672.0,1608.0,0.0,0.0,0.0,92.00003981590271,92.06982803344727,80.71057605743408,68.3606424331665,84.03709125518799,155.24946403503418,
prefix,4096,4109,1024,1032,4,128,1,1.3504559993743896,1.3175368309020996,True,12288,4,0,ok,,20680.0,20672.0,82728.0,20672.0,1608.0,0.0,0.0,0.0,92.0000958442688,92.0992431640625,80.69059991836548,64.42444086074829,84.03693389892578,155.3550510406494,
prefix,4096,4109,1024,1032,4,128,2,1.3545787334442139,1.3203019499778748,True,12288,4,0,ok,,20680.0,20672.0,82728.0,20672.0,1608.0,0.0,0.0,0.0,92.00007700920105,92.08056688308716,80.68561148643494,64.43549108505249,84.03689455986023,155.37752437591553,
prefix,4096,4109,1024,1032,8,128,0,1.5390021800994873,1.493245005607605,True,28672,8,0,ok,,41360.0,41344.0,165456.0,41344.0,3216.0,0.0,0.0,0.0,184.00035166740417,184.2650043964386,162.01676535606384,129.36342430114746,168.0788722038269,314.15026664733887,
prefix,4096,4109,1024,1032,8,128,1,1.5462300777435303,1.4933087825775146,True,28672,8,0,ok,,41360.0,41344.0,165456.0,41344.0,3216.0,0.0,0.0,0.0,184.00046014785767,184.2537124156952,162.10880041122437,129.1911280155182,168.07959699630737,314.0629291534424,
prefix,4096,4109,1024,1032,8,128,2,1.5408997535705566,1.4948890209197998,True,28672,8,0,ok,,41360.0,41344.0,165456.0,41344.0,3216.0,0.0,0.0,0.0,184.00036549568176,184.26928663253784,162.01682782173157,129.33746123313904,168.07887268066406,314.0995979309082,
prefix,8192,8204,256,264,2,128,0,1.2678115367889404,1.2545238733291626,True,8192,2,0,ok,,16994.0,16992.0,67986.0,16992.0,804.0,0.0,0.0,0.0,46.00002312660217,46.03550887107849,40.33841347694397,36.13488149642944,42.018412590026855,77.42016124725342,
prefix,8192,8204,256,264,2,128,1,1.3033123016357422,1.2846944332122803,True,8192,2,0,ok,,16994.0,16992.0,67986.0,16992.0,804.0,0.0,0.0,0.0,46.00001120567322,46.03557276725769,40.378082036972046,36.14145565032959,42.01872515678406,77.56076431274414,
prefix,8192,8204,256,264,2,128,2,1.3187153339385986,1.301287055015564,True,8192,2,0,ok,,16994.0,16992.0,67986.0,16992.0,804.0,0.0,0.0,0.0,46.00002408027649,46.0376353263855,40.38523745536804,34.172017335891724,42.018781423568726,77.66835880279541,
prefix,8192,8204,256,264,4,128,0,1.4194135665893555,1.3887168169021606,True,24576,4,0,ok,,33988.0,33984.0,135972.0,33984.0,1608.0,0.0,0.0,0.0,92.00007009506226,92.08415746688843,80.95064926147461,64.46056604385376,84.0389814376831,156.21486949920654,
prefix,8192,8204,256,264,4,128,1,1.3763294219970703,1.3389543294906616,True,24576,4,0,ok,,33988.0,33984.0,135972.0,33984.0,1608.0,0.0,0.0,0.0,92.00006675720215,92.08170628547668,80.73374581336975,64.46246266365051,84.037273645401,155.5699348449707,
prefix,8192,8204,256,264,4,128,2,1.3686373233795166,1.3368120789527893,True,24576,4,0,ok,,33988.0,33984.0,135972.0,33984.0,1608.0,0.0,0.0,0.0,92.00006151199341,92.08077836036682,80.75040912628174,64.43116664886475,84.0374047756195,155.56243324279785,
prefix,8192,8204,256,264,8,128,0,1.6525888442993164,1.5901838541030884,True,57344,8,0,ok,,67976.0,67968.0,271944.0,67968.0,3216.0,0.0,0.0,0.0,184.00034189224243,184.28261518478394,162.5679988861084,129.49973845481873,160.08321261405945,301.17025089263916,
prefix,8192,8204,256,264,8,128,1,1.6694979667663574,1.6009316444396973,True,57344,8,0,ok,,67976.0,67968.0,271944.0,67968.0,3216.0,0.0,0.0,0.0,184.0003628730774,184.29461479187012,162.5526316165924,129.57536482810974,160.08309173583984,300.39785289764404,
