mode,input_tokens_target,input_tokens_actual,output_tokens_target,concurrency,repeat,request_id,e2e_latency,ttft,tpot,client_prompt_tokens,prompt_tokens_client,completion_tokens_client,client_completion_tokens,server_prompt_tokens,prompt_tokens_server,server_completion_tokens,completion_tokens_server,output_tokens_actual,start_time,first_token_time,end_time,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error,metrics_prompt_tokens_delta,metrics_generation_tokens_delta,per_request_latency_mean,per_request_latency_p50,per_request_latency_p95,throughput_prompt_tokens_per_s,throughput_generation_tokens_per_s,queue_metric_delta,num_success,num_failed,case_start_time,case_end_time,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,total_e2e_latency,prefix_token_ids_exact_match,client_repeated_prefix_tokens
length,4096,4096,32,1,2,length-4096-32-2-0,0.3382549285888672,,0.0105704665184021,4096,4096,32,32,4125,4125,32,32,32,1778389321.5445144,,1778389321.8827693,ok,,4125.0,4112.0,16492.0,4112.0,118.0,0.0,0.0,0.0,23.0000057220459,23.011548280715942,23.27742314338684,19.04010581970215,21.008949041366577,43.957526206970215,,16492.0,118.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,128,1,0,length-4096-128-0-0,1.1997284889221191,,0.009372878819704056,4096,4096,128,128,4125,4125,128,128,128,1778389321.955847,,1778389323.1555755,ok,,4125.0,4112.0,16492.0,4112.0,402.0,0.0,0.0,0.0,23.0000057220459,23.011473178863525,20.138498067855835,20.039702653884888,21.00896453857422,38.53963756561279,,16492.0,402.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,128,1,1,length-4096-128-1-0,1.1990690231323242,,0.009367726743221283,4096,4096,128,128,4125,4125,128,128,128,1778389323.229205,,1778389324.428274,ok,,4125.0,4112.0,16492.0,4112.0,402.0,0.0,0.0,0.0,23.00000762939453,23.01210856437683,20.13816499710083,19.04088258743286,21.00896191596985,38.541897773742676,,16492.0,402.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,128,1,2,length-4096-128-2-0,1.185953140258789,,0.00926525890827179,4096,4096,128,128,4125,4125,128,128,128,1778389324.5105007,,1778389325.6964538,ok,,4125.0,4112.0,16492.0,4112.0,402.0,0.0,0.0,0.0,23.0000057220459,23.01182746887207,20.138123273849487,20.02775549888611,21.00896167755127,38.502323150634766,,16492.0,402.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,512,1,0,length-4096-512-0-0,2.6361632347106934,,0.009185237751605204,4096,4096,287,287,4125,4125,288,288,288,1778389325.7707815,,1778389328.4069448,ok,,4125.0,4112.0,16492.0,4112.0,880.0,0.0,0.0,0.0,23.0000057220459,23.011547088623047,18.575303077697754,20.03981900215149,21.008973121643066,36.84971809387207,,16492.0,880.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,512,1,1,length-4096-512-1-0,2.636457920074463,,0.009186264529876177,4096,4096,287,287,4125,4125,288,288,288,1778389328.4829013,,1778389331.1193593,ok,,4125.0,4112.0,16492.0,4112.0,880.0,0.0,0.0,0.0,23.00000786781311,23.012048482894897,18.574921369552612,19.040916442871094,21.00897192955017,36.85146903991699,,16492.0,880.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,512,1,2,length-4096-512-2-0,2.63600492477417,,0.00918468614903892,4096,4096,287,287,4125,4125,288,288,288,1778389331.1945398,,1778389333.8305447,ok,,4125.0,4112.0,16492.0,4112.0,880.0,0.0,0.0,0.0,23.000006198883057,23.011712551116943,18.57488989830017,20.039991855621338,21.008971691131592,36.848758697509766,,16492.0,880.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,1024,1,0,length-4096-1024-0-0,2.633103370666504,,0.009174576204412905,4096,4096,287,287,4125,4125,288,288,288,1778389333.904731,,1778389336.5378344,ok,,4125.0,4112.0,16492.0,4112.0,880.0,0.0,0.0,0.0,23.000006437301636,23.011707305908203,18.574883699417114,20.038851499557495,21.008971691131592,36.845314025878906,,16492.0,880.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,1024,1,1,length-4096-1024-1-0,2.6222431659698486,,0.009136735769929787,4096,4096,287,287,4125,4125,288,288,288,1778389336.6133583,,1778389339.2356014,ok,,4125.0,4112.0,16492.0,4112.0,880.0,0.0,0.0,0.0,23.000005960464478,23.011676788330078,18.57525658607483,20.025933742523193,21.008973121643066,36.80779838562012,,16492.0,880.0,,,,,,,,,,,,,,,,,,,
length,4096,4096,1024,1,2,length-4096-1024-2-0,2.6210358142852783,,0.009132528969635116,4096,4096,287,287,4125,4125,288,288,288,1778389339.3100898,,1778389341.9311256,ok,,4125.0,4112.0,16492.0,4112.0,880.0,0.0,0.0,0.0,23.000006675720215,23.011653661727905,18.57521390914917,20.024933338165283,21.008972883224487,36.80458354949951,,16492.0,880.0,,,,,,,,,,,,,,,,,,,
length,8192,8192,32,1,0,length-8192-32-0-0,0.6559081077575684,,0.02049712836742401,8192,8192,32,32,8221,8221,32,32,32,1778389342.1788898,,1778389342.8347979,ok,,8221.0,64.0,24731.0,64.0,118.0,0.0,0.0,0.0,23.000020742416382,22.303528308868408,23.286392211914062,15.357532501220703,21.009238481521606,41.9349422454834,,24731.0,118.0,,,,,,,,,,,,,,,,,,,
length,8192,8192,32,1,1,length-8192-32-1-0,0.35286736488342285,,0.011027105152606964,8192,8192,32,32,8221,8221,32,32,32,1778389342.8744318,,1778389343.2272992,ok,,8221.0,8208.0,32875.0,8208.0,118.0,0.0,0.0,0.0,23.000006914138794,23.013241052627563,23.281620025634766,18.06042718887329,21.009084463119507,44.029823303222656,,32875.0,118.0,,,,,,,,,,,,,,,,,,,
