mode,run_id,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,per_request_ttft_mean,per_request_decode_time_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,stream,output_length_control_requested,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,cached_prompt_tokens_delta,prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,prefix_cache_metrics_reliable,metrics_error
prefix,pr2_v2_noprefix,1024,1037,256,264,2,128,0,1.2964560985565186,1.282440185546875,0.11406099796295166,1.1683791875839233,True,1024,True,True,2,0,ok,,0.0,0.0,0.0,2660.0,256.0,0.0,0.0,0.0,1.081777736544609e-05,0.11570443911477923,2.338130455929786,0.16759014129638672,0.0,2.5057098865509033,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,2,128,1,1.2931959629058838,1.2789788246154785,0.1111372709274292,1.1678415536880493,True,1024,True,True,2,0,ok,,0.0,0.0,0.0,2660.0,256.0,0.0,0.0,0.0,1.0936520993709564e-05,0.11474008345976472,2.3374566701240838,0.16576623916625977,0.0,2.5031776428222656,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,2,128,2,1.2925527095794678,1.2795356512069702,0.10987401008605957,1.1696616411209106,True,1024,True,True,2,0,ok,,0.0,0.0,0.0,2660.0,256.0,0.0,0.0,0.0,1.074373722076416e-05,0.11751278163865209,2.3405384765937924,0.1682572364807129,0.0,2.5087032318115234,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,4,128,0,1.4470295906066895,1.414607286453247,0.21974927186965942,1.1948580145835876,True,3072,True,True,4,0,ok,,0.0,0.0,0.0,5320.0,512.0,0.0,0.0,0.0,3.9989128708839417e-05,0.5169931203126907,4.796898251865059,0.69454026222229,0.0,5.491407155990601,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,4,128,1,1.4391729831695557,1.4118463397026062,0.2128179669380188,1.1990283727645874,True,3072,True,True,4,0,ok,,0.0,0.0,0.0,5320.0,512.0,0.0,0.0,0.0,5.154591053724289e-05,0.506865048315376,4.799072180874646,0.6970119476318359,0.0,5.496244668960571,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,4,128,2,1.4468209743499756,1.4173735976219177,0.21591919660568237,1.2014544010162354,True,3072,True,True,4,0,ok,,0.0,0.0,0.0,5320.0,512.0,0.0,0.0,0.0,3.3480580896139145e-05,0.5266115046106279,4.806226068176329,0.702017068862915,0.0,5.508826494216919,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,8,128,0,1.7340710163116455,1.6752606332302094,0.4154849052429199,1.2597757279872894,True,7168,True,True,8,0,ok,,0.0,0.0,0.0,10640.0,1024.0,0.0,0.0,0.0,0.0002138284035027027,2.1174909784458578,10.08373022871092,2.7281975746154785,0.0,12.811147928237915,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,8,128,1,1.7046997547149658,1.651289165019989,0.39388978481292725,1.2573993802070618,True,7168,True,True,8,0,ok,,0.0,0.0,0.0,10640.0,1024.0,0.0,0.0,0.0,0.0001703561283648014,2.1025705323554575,10.07277663378045,2.617504358291626,0.0,12.688447952270508,True,
prefix,pr2_v2_noprefix,1024,1037,256,264,8,128,2,1.714226484298706,1.6613994538784027,0.4027332365512848,1.258666217327118,True,7168,True,True,8,0,ok,,0.0,0.0,0.0,10640.0,1024.0,0.0,0.0,0.0,0.00012533040717244148,2.1031748997047544,10.078517075162381,2.684368848800659,0.0,12.762244939804077,True,
prefix,pr2_v2_noprefix,1024,1037,512,520,2,128,0,1.3131909370422363,1.3004038333892822,0.12593412399291992,1.1744697093963623,True,1024,True,True,2,0,ok,,0.0,0.0,0.0,3172.0,256.0,0.0,0.0,0.0,1.020217314362526e-05,0.13888945989310741,2.350695257075131,0.19640469551086426,0.0,2.547072410583496,True,
prefix,pr2_v2_noprefix,1024,1037,512,520,2,128,1,1.3150696754455566,1.3002814054489136,0.12576079368591309,1.1745206117630005,True,1024,True,True,2,0,ok,,0.0,0.0,0.0,3172.0,256.0,0.0,0.0,0.0,1.3226177543401718e-05,0.1377898408100009,2.350736786145717,0.19511175155639648,0.0,2.545846700668335,True,
prefix,pr2_v2_noprefix,1024,1037,512,520,2,128,2,1.3146812915802002,1.3008079528808594,0.1258772611618042,1.1749306917190552,True,1024,True,True,2,0,ok,,0.0,0.0,0.0,3172.0,256.0,0.0,0.0,0.0,1.5656929463148117e-05,0.13857292104512453,2.35130661027506,0.1964282989501953,0.0,2.5477631092071533,True,
prefix,pr2_v2_noprefix,1024,1037,512,520,4,128,0,1.466548204421997,1.4460020661354065,0.24147212505340576,1.2045299410820007,True,3072,True,True,4,0,ok,,0.0,0.0,0.0,6344.0,512.0,0.0,0.0,0.0,4.1274819523096085e-05,0.6132341413758695,4.830875271465629,0.8161106109619141,0.0,5.647552967071533,True,
